query,query_type,drug,severity_filter,ground_truth,num_results
Show mild moderate reactions to efavirenz,severity_filtered,efavirenz,mild_moderate,"['proteinuria', 'tachycardia']",2
Find all mild toxicities of efavirenz,severity_filtered,efavirenz,mild,"['dizziness', 'pruritus', 'headache', 'rash recurrent', 'fatigue', 'vesiculobullous rash', 'constipation', 'rash', 'rash maculo-papular', 'rash pustular', 'rash generalised', 'nausea', 'dry mouth', 'insomnia']",14
List severe adverse events of chloroprocaine,severity_filtered,chloroprocaine,severe,['cardiac arrest'],1
List moderate adverse events of chloroprocaine,severity_filtered,chloroprocaine,moderate,"['vomiting', 'hypotension', 'shock', 'drowsiness', 'body temperature increased', 'hyperhidrosis', 'sneezing', 'urticaria', 'agitation', 'erythema', 'loss of consciousness', 'acidosis', 'ventricular arrhythmia', 'anxiety', 'pseudocholinesterase deficiency', 'tinnitus', 'somnolence', 'tremor', 'angioedema', 'excitement', 'total spinal block', 'arachnoiditis', 'laryngeal oedema', 'spinal anaesthesia', 'syncope', 'sweating increased', 'back pain', 'respiratory arrest', 'vision blurred', 'apnoea', 'convulsion']",31
Find all mild moderate toxicities of chloroprocaine,severity_filtered,chloroprocaine,mild_moderate,"['bradycardia', 'tachycardia']",2
Find all mild toxicities of chloroprocaine,severity_filtered,chloroprocaine,mild,"['dizziness', 'headache', 'nausea', 'pruritus']",4
Find all life threatening toxicities of metronidazole,severity_filtered,metronidazole,life_threatening,"['anaphylactic shock', 'gynaecomastia', 'stevens-johnson syndrome', 'toxic epidermal necrolysis']",4
Show severe reactions to metronidazole,severity_filtered,metronidazole,severe,['convulsive seizure'],1
What moderate severe side effects does metronidazole cause?,severity_filtered,metronidazole,moderate_severe,['pancreatitis'],1
Show moderate reactions to metronidazole,severity_filtered,metronidazole,moderate,"['hypersensitivity', 'upper respiratory tract infection', 'neutropenia', 'abdominal pain upper', 'unspecified disorder of intestine', 'depression', 'seborrhoeic dermatitis', 'breast disorder', 'diplopia', 'eructation', 'dermatitis', 'tingling sensation', 'vaginal itching', 'localised oedema', 'musculoskeletal discomfort', 'loss of consciousness', 'vulvovaginal disorder', 'metrorrhagia', 'vulvovaginal burning sensation', 'anorexia', 'proctitis', 'blood disorder', 'jaundice', 'stinging', 'hypoaesthesia', 'angioedema', 'distress', 'skin irritation', 'visual acuity reduced', 'ataxia', 'application site reaction', 'abdominal bloating', 'sweating', 'influenza like illness', 'hypertension', 'gastrointestinal disorder', 'peripheral sensory neuropathy', 'dysgeusia', 'skin exfoliation', 'vulvovaginal dryness', 'photosensitivity', 'color vision change', 'colour blindness acquired', 'skin discomfort', 'oedema genital', 'neuropathy', 'numbness of limbs', 'urine output increased', 'disorder sight', 'lactation female', 'pseudomembranous colitis', 'liver function test abnormal', 'vision blurred', 'eruption', 'loose stools', 'gastrointestinal pain', 'flushing', 'optic nerve disorder', 'incontinence', 'leukorrhea', 'pelvic discomfort', 'mental disorder', 'pancytopenia', 'urine analysis abnormal', 'neurological symptom', 'gastrointestinal discomfort', 'vertigo', 'tongue coated', 'skin burning sensation', 'glossitis', 'hepatobiliary disease', 'pregnancy', 'coordination abnormal', 'infestation nos', 'drowsiness', 'body temperature increased', 'muscle spasms', 'confusional state', 'cardiac disorder', 'nasopharyngitis', 'erythema', 'thrombocytopenia', 'asthenia', 'mucous membrane disorder', 'depressed mood', 'aplastic anaemia', 'palpitations', 'arthralgia', 'eosinophilia', 'dyspepsia', 'hepatitis', 'redness', 'pollakiuria', 'burning feeling vagina', 'abdominal distress', 'photosensitivity reaction', 'sinusitis', 'basal cell carcinoma', 'skin disorder', 'local reaction', 'irritability', 'pyuria', 'candida infection', 'angiopathy', 'white blood cell count decreased', 'oily skin', 'blood and lymphatic system disorders', 'rhinitis', 'cystitis', 'leukopenia', 'vulvovaginal candidiasis', 'liver injury', 'pain', 'cerebellar syndrome', 'sickness', 'visual impairment', 'hiccups', 'abdominal cramps', 'dysmenorrhoea', 'vaginal mycosis', 'infestation', 'cramp muscle', 'psychotic disorder', 'thrombophlebitis', 'candida cervicitis', 'dysarthria', 'infection', 'bladder pain', 'mucosal inflammation', 'dyspareunia', 'oedema labial genital', 'loss of libido', 'influenza', 'gastrointestinal tract irritation', 'unspecified disorder of skin and subcutaneous tissue', 'urinary tract infection', 'tinnitus', 'somnolence', 'breast pain', 'tremor', 'lacrimation increased', 'urine abnormality', 'paraesthesia', 'numbness', 'gingivitis', 'eye disorder', 'flatulence', 'serum sickness', 'galactorrhoea', 'vulval disorder', 'polyuria', 'yeast infection', 'encephalopathy', 'abdominal distension', 'neuropathy peripheral', 'libido decreased', 'decreased appetite', 'vaginal dryness', 'abdominal discomfort', 'hepatitis cholestatic', 'chest pain', 'menorrhagia', 'vaginal discharge', 'emotional distress', 'epigastric pain', 'neuritis', 'meningitis aseptic', 'neoplasm malignant', 'nervous system disorder', 'fungal infection', 'vomiting', 'taste altered', 'hepatic failure', 'nystagmus', 'shock', 'vaginal moniliasis', 'cystitis noninfective', 'mediastinal disorder', 'breast enlargement', 'immune system disorder', 'erythema multiforme', 'dry skin', 'stomatitis', 'agranulocytosis', 'osteoarthritis', 'nasal congestion', 'oedema', 'neoplasm', 'hyperhidrosis', 'tongue discolouration', 'taste metallic', 'dysuria', 'urticaria', 'bone marrow depression', 'asthma', 'disorientation', 'pharyngitis', 'myopia', 'condition aggravated', 'vaginal infection', 'epigastric distress', 'dermatitis bullous', 'conjunctivitis', 'traumatic liver injury', 'bacterial infection', 'vaginal inflammation', 'feeling abnormal', 'vulvovaginal mycotic infection', 'central nervous system disorder', 'influenza-like symptoms', 'burning sensation', 'syncope', 'connective tissue disorder', 'back pain', 'sensory loss', 'rosacea', 'white blood cell count low', 'hallucination', 'disturbance in sexual arousal', 'bronchitis', 'taste disorders', 'malaise', 'eye irritation', 'dermatitis contact', 'salpingitis', 'convulsion', 'diarrhoea', 'paresthesia of limbs', 'skin tightness', 'abdominal pain']",230
Find all mild toxicities of metronidazole,severity_filtered,metronidazole,mild,"['dizziness', 'pruritus', 'headache', 'pruritus genital', 'rash erythematous', 'fatigue', 'rash papular', 'constipation', 'rash', 'vulvovaginal pruritus', 'pruritus generalised', 'rash pustular', 'nausea', 'dry mouth', 'insomnia']",15
Show fatal reactions to mycophenolic,severity_filtered,mycophenolic,fatal,"['fatal outcomes', 'foetal death']",2
Show life threatening reactions to mycophenolic,severity_filtered,mycophenolic,life_threatening,"[""kaposi's sarcoma"", 'respiratory failure']",2
Show severe reactions to mycophenolic,severity_filtered,mycophenolic,severe,['cardiac arrest'],1
List moderate severe adverse events of mycophenolic,severity_filtered,mycophenolic,moderate_severe,['pancreatitis'],1
Show moderate reactions to mycophenolic,severity_filtered,mycophenolic,moderate,"['upper respiratory tract infection', 'neutropenia', 'oedema peripheral', 'autoimmune disorder', 'renal failure acute', 'eructation', 'gastrointestinal haemorrhage', 'meningitis', 'pericardial effusion', 'acquired immunodeficiency syndrome', 'hypocalcaemia', 'neonatal disorder', 'hydronephrosis', 'duodenal ulcer', 'sweating', 'hypertension worsened', 'influenza like illness', 'cytomegalovirus viraemia', 'hypertension', 'endocrine disorder', 'extrasystoles', 'lung disorder', 'ill-defined disorder', 'progressive multifocal leukoencephalopathy', 'squamous cell carcinoma', 'urine analysis abnormal', 'abnormal vision', 'thinking abnormal', 'infestation nos', 'urethral stenosis', 'gastrooesophageal reflux disease', 'agitation', 'thrombocytopenia', 'hypoproteinaemia', 'hepatitis c', 'palpitations', 'postoperative pain', 'supraventricular extrasystoles', 'prothrombin level increased', 'aplasia pure red cell', 'dyspepsia', 'sinusitis', 'malnutrition', 'basal cell carcinoma', 'mood swings', 'blood and lymphatic system disorders', 'rhinitis', 'hepatitis b', 'liver injury', 'ileus', 'pain', 'skin ulcer', 'urinary retention', 'sepsis', 'infestation', 'cough', 'hemiparesis', 'unspecified disorder of skin and subcutaneous tissue', 'neck pain', 'sinus congestion', 'tinnitus', 'lacrimal structural disorder', 'gingivitis', 'peptic ulcer', 'eye disorder', 'flatulence', 'lip pain', 'arthritis', 'hyperkalaemia', 'gamma-glutamyltransferase increased', 'decreased appetite', 'procedural pain', 'oral candidiasis', 'fluid overload', 'respiratory tract infection', 'immunodeficiency', 'pyelonephritis', 'osteoporosis', 'tension', 'hypertonia', 'oropharyngeal pain', 'hypochromic anaemia', 'hyperlipidaemia', 'alanine aminotransferase increased', 'cholangitis', 'dyspnoea exertional', 'hyperhidrosis', 'atypical mycobacterial infection', 'pallor', 'viral infection', 'anaemia', 'pulmonary hypertension', 'hypercholesterolaemia', 'pleural effusion', 'multiple congenital abnormalities', 'conjunctivitis', 'injury', 'device related infection', 'accidental injury', 'toxicity to various agents', 'hypercalcaemia', 'local swelling', 'fungal skin infection', 'muscular weakness', 'skin papilloma', 'malaise', 'alkalosis', 'convulsion', 'cardiac failure congestive', 'x-linked lymphoproliferative syndrome', 'hypomagnesaemia', 'gastric ulcer', 'melaena', 'musculoskeletal discomfort', 'postoperative complications nos', 'blood disorder', 'jaundice', 'amblyopia', 'gastrointestinal candidiasis', 'blood urea increased', 'dyspnoea', 'enlargement abdomen', 'vasospasm', 'hyponatraemia', 'oliguria', 'oesophagitis', 'skin carcinoma', 'hyperventilation', 'lymphopenia', 'liver function test abnormal', 'loose stools', 'blood creatinine increased', 'nocturia', 'cataract', 'face oedema', 'opportunistic infection', 'pregnancy', 'muscle spasms', 'confusional state', 'nasopharyngitis', 'delirium', 'cytomegalovirus infection', 'lymphadenopathy', 'mouth ulceration', 'subileus', 'pollakiuria', 'abnormal dreams', 'hyperglycaemia', 'cellulitis', 'candida infection', 'angiopathy', 'haemoglobin', 'haematuria', 'post procedural complication', 'wound infection', 'graft loss', 'leukopenia', 'developmental delay', 'gout', 'myalgia', 'complications of transplant surgery', 'cryptococcosis', 'disorder birth', 'hyperuricaemia', 'hypochloraemia', 'bladder pain', 'weight decreased', 'parotid duct obstruction', 'tremor', 'atrophy', 'pain in extremity', 'hyperbilirubinaemia', 'kidney function abnormal', 'prostatic disorder', 'hirsutism', 'hernia', 'blood lactate dehydrogenase increased', 'ecchymosis', 'herpes simplex', 'hypovolaemia', 'fungal infection', 'pneumonia', 'cough increased', 'subacute endocarditis', 'lip ulceration', 'urethral disorder', 'osteomyelitis', 'implant infection', 'anorectal disorder', 'osteoarthritis', 'pharyngitis', 'breath odour', 'dermatitis bullous', 'sputum increased', 'respiratory tract congestion', 'bone disorder', 'benign neoplasm of skin', 'feeling abnormal', 'flat affect', 'hallucination', 'ascites', 'atrial fibrillation', 'ventricular extrasystoles', 'renal failure', 'breast disorder', 'nephropathy', 'swelling', 'weight increased', 'cytomegalovirus gastritis', 'bk virus infection', 'hypoaesthesia', 'chills', 'postoperative wound complication', 'respiratory moniliasis', 'gastrointestinal disorder', 'pharyngolaryngeal pain', 'aspartate aminotransferase increased', 'nervousness', 'jaundice cholestatic', 'gingival hyperplasia', 'apnoea', 'pancytopenia', 'atrial flutter', 'erectile dysfunction', 'scrotal oedema', 'body temperature increased', 'thrombosis', 'cardiac disorder', 'arthralgia', 'skin disorder', 'subacute bacterial endocarditis', 'ear disorder', 'eye haemorrhage', 'angina pectoris', 'lymphoma', 'lactic dehydrogenase activity increased', 'visual impairment', 'myasthenia', 'renal impairment', 'cramp muscle', 'psychotic disorder', 'acne', 'dysphagia', 'congenital anomaly', 'anxiety', 'somnolence', 'drug toxicity', 'polycythaemia', 'urine abnormality', 'paraesthesia', 'ear pain', 'arthropathy', 'melanoma skin', 'edema of lower extremities', 'abdominal distension', 'neuropathy peripheral', 'haemorrhage', 'epistaxis', 'urinary tract disorder', 'albuminuria', 'fluid retention', 'renal tubular necrosis', 'delusional perception', 'hypokalaemia', 'mediastinal disorder', 'pelvic pain', 'pneumothorax', 'oedema', 'tongue discolouration', 'cramps of lower extremities', 'oropharyngeal discomfort', 'acidosis', 'thirst', 'intestinal perforation', 'skin cancer', 'syncope', 'tuberculosis', 'hypothyroidism', 'peripheral swelling', 'connective tissue disorder', 'back pain', 'laboratory test abnormal', 'lacrimal disorder', 'bronchitis', 'neurological symptom', 'pulmonary fibrosis', 'abdominal pain', 'immunocompromised', 'abdominal pain upper', 'fungaemia', 'skin hypertrophy', 'lymphocele', 'carcinoma', 'cardiac failure', 'dermatitis', 'loss of consciousness', 'anorexia', 'pulmonary oedema', 'ataxia', 'dehydration', 'wheezing', 'neuropathy', 'hepatocellular injury', 'cardiovascular disorder', 'vision blurred', 'post procedural pain', 'gastrointestinal pain', 'venous pressure increased', 'mental disorder', 'rigors', 'affect lability', 'impaired healing', 'vertigo', 'hyperphosphataemia', 'parathyroid disorder', 'hepatobiliary disease', 'atelectasis', 'rectal disorder', 'diabetes mellitus', 'blood uric acid increased', 'asthenia', 'hypophosphataemia', 'abscess', 'hepatitis', 'ear malformation', 'polyomavirus-associated nephropathy', 'mental disability', 'creatinine increased', 'orthostatic hypotension', 'abdominal tenderness', 'arterial thrombosis', 'blood pressure increased', 'arrhythmia', 'hiccups', 'hypotension', 'apathy', 'herpes zoster', 'infection', 'bladder spasm', 'colitis', 'influenza', 'peripheral vascular disorder', 'urinary tract infection', 'leukocytosis', 'hypoglycaemia', 'pulmonary congestion', 'pregnancy loss', 'abdominal pain lower', 'increased bronchial secretion', 'viraemia', ""cushing's syndrome"", 'petechiae', 'chest pain', 'alopecia', 'cytomegalovirus colitis', 'neoplasm malignant', 'nervous system disorder', 'blood alkaline phosphatase increased', 'phlebitis', 'vomiting', 'shock', 'stomatitis', 'agranulocytosis', 'neoplasm', 'respiratory acidosis', 'phosphatase alkaline increased', 'dysuria', 'lymphoproliferative disorder', 'cheilitis', 'deafness', 'laryngeal pain', 'asthma', 'gastritis', 'peritonitis', 'contusion', 'coagulopathy', 'urinary incontinence', ""non-hodgkin's lymphoma"", 'discomfort', 'throat sore', 'haemoptysis', 'malignant melanoma', 'gastroenteritis', 'generalised oedema', 'diarrhoea', 'renal graft loss']",386
List mild moderate adverse events of mycophenolic,severity_filtered,mycophenolic,mild_moderate,"['ventricular tachycardia', 'bradycardia', 'supraventricular tachycardia', 'tachycardia']",4
What mild side effects does mycophenolic cause?,severity_filtered,mycophenolic,mild,"['dizziness', 'pruritus', 'headache', 'fatigue', 'vesiculobullous rash', 'constipation', 'rash', 'rash pustular', 'nausea', 'dry mouth', 'insomnia']",11
Show life threatening reactions to maprotiline,severity_filtered,maprotiline,life_threatening,"['toxic epidermal necrolysis', 'gynaecomastia', 'stevens-johnson syndrome']",3
Show severe reactions to maprotiline,severity_filtered,maprotiline,severe,['myocardial infarction'],1
Show moderate reactions to maprotiline,severity_filtered,maprotiline,moderate,"['dental caries', 'menopausal symptoms', 'libido disorder', 'depressive symptom', 'breast disorder', 'memory impairment', 'dermatitis', 'tingling sensation', 'loss of consciousness', 'weight increased', 'black hairy tongue', 'dyskinesia', 'jaundice', 'hypomania', 'hypoaesthesia', 'ataxia', 'hypertrophy of breast', 'salivary hypersecretion', 'torsade de pointes', 'hypertension', 'gastrointestinal disorder', 'endocrine disorder', 'dysgeusia', 'acute coronary syndrome', 'sweating increased', 'ear and labyrinth disorders', 'nervousness', 'electroencephalogram abnormal', 'liver function test abnormal', 'sleep disturbance', 'conduction disorder', 'vision blurred', 'gastrointestinal pain', 'vascular purpura', 'flushing', 'pancytopenia', 'adenitis', 'testicular swelling', 'erectile dysfunction', 'lymphadenitis', 'coordination abnormal', 'aggression', 'hepatobiliary disease', 'infestation nos', 'drowsiness', 'body temperature increased', 'confusional state', 'cardiac disorder', 'delusion', 'delirium', 'agitation', 'sleep disorder', 'thrombocytopenia', 'asthenia', 'depressed mood', 'myoclonus', 'palpitations', 'eosinophilia', 'dyspepsia', 'hepatitis', 'pollakiuria', 'dermatitis atopic', 'malnutrition', 'ileus paralytic', 'extrapyramidal symptoms', 'orthostatic hypotension', 'drug withdrawal syndrome', 'skin disorder', 'angiopathy', 'bronchospasm', 'blood and lymphatic system disorders', 'leukopenia', 'blood pressure increased', 'arrhythmia', 'bundle branch block', 'abdominal cramps', 'hypotension', 'urinary retention', 'infestation', 'psychotic disorder', 'dysarthria', 'infection', 'weight decreased', 'drug fever', 'dysphagia', 'hyperkinesia', 'unspecified disorder of skin and subcutaneous tissue', 'micturition disorder', 'anxiety', 'inappropriate antidiuretic hormone secretion', 'tinnitus', 'extrapyramidal disorder', 'somnolence', 'tremor', 'paraesthesia', 'numbness', 'interstitial lung disease', 'atrioventricular block', 'eye disorder', 'purpura', 'galactorrhoea', 'neuropathy peripheral', 'libido decreased', 'block heart', 'urinary tract disorder', 'petechiae', 'taste bitter', 'mydriasis', 'depersonalisation', 'tension', 'alopecia', 'nervous system disorder', 'electrocardiogram qrs complex', 'vomiting', 'increased appetite', 'urethral disorder', 'shock', 'cerebrovascular accident', 'mediastinal disorder', 'akathisia', 'breast enlargement', 'photosensitivity reaction', 'erythema multiforme', 'stomatitis', 'agranulocytosis', 'osteoarthritis', 'hyperhidrosis', 'oedema', 'nasal congestion', 'tongue discolouration', 'urticaria', 'bone marrow depression', 'disorientation', 'cutaneous vasculitis', 'derealisation', 'epigastric distress', 'qrs complex', 'bone disorder', 'feeling abnormal', 'hot flush', 'syncope', 'interstitial pneumonia', 'withdrawal symptom', 'muscular weakness', 'sensory loss', 'ventricular fibrillation', 'hallucination', 'disturbance in sexual arousal', 'alveolitis allergic', 'nightmare', 'convulsion', 'mania', 'abdominal disorder', 'diarrhoea', 'abdominal pain']",155
Find all mild moderate toxicities of maprotiline,severity_filtered,maprotiline,mild_moderate,"['ventricular tachycardia', 'sinus tachycardia', 'tachycardia']",3
List mild adverse events of maprotiline,severity_filtered,maprotiline,mild,"['dizziness', 'pruritus', 'headache', 'fatigue', 'constipation', 'rash', 'nausea', 'dry mouth', 'insomnia']",9
What life threatening side effects does terlipressin cause?,severity_filtered,terlipressin,life_threatening,['respiratory failure'],1
Find all severe toxicities of terlipressin,severity_filtered,terlipressin,severe,['myocardial infarction'],1
What moderate side effects does terlipressin cause?,severity_filtered,terlipressin,moderate,"['vomiting', 'abdominal cramps', 'injection site necrosis', 'menopausal symptoms', 'serum creatinine decreased', 'pregnancy', 'cardiac failure', 'cardiac disorder', 'pallor', 'skin necrosis', 'peripheral ischaemia', 'respiratory distress', 'unspecified disorder of skin and subcutaneous tissue', 'blood creatinine decreased', 'vasoconstriction', 'ventricular extrasystoles', 'cyanosis peripheral', 'pulmonary oedema', 'intestinal ischaemia', 'dyspnoea', 'torsade de pointes', 'hot flush', 'malnutrition', 'hypertension', 'gastrointestinal disorder', 'acute coronary syndrome', 'skin exfoliation', 'skin disorder', 'hyponatraemia', 'cyanosis', 'angiopathy', 'fluid overload', 'uterine hypertonus', 'ventricular fibrillation', 'mesenteric vascular insufficiency', 'chest pain', 'pallor facial', 'vasoconstriction peripheral', 'atrial fibrillation', 'diarrhoea', 'nervous system disorder', 'abdominal pain']",42
Show mild moderate reactions to terlipressin,severity_filtered,terlipressin,mild_moderate,"['bradycardia', 'tachycardia']",2
What mild side effects does terlipressin cause?,severity_filtered,terlipressin,mild,"['nausea', 'headache']",2
Find all life threatening toxicities of lmwh,severity_filtered,lmwh,life_threatening,"['anaphylactic shock', 'anaphylactoid reaction']",2
Find all severe toxicities of lmwh,severity_filtered,lmwh,severe,"['myocardial infarction', 'paralysis']",2
Show moderate reactions to lmwh,severity_filtered,lmwh,moderate,"['hypersensitivity', 'nodule', 'hyperlipidaemia', 'shock', 'alanine aminotransferase increased', 'oedema peripheral', 'haemorrhagic anaemia', 'body temperature increased', 'cardiac failure', 'vasculitis', 'thrombosis', 'oedema', 'confusional state', 'liver disorder', 'injection site pain', 'urticaria', 'skin necrosis', 'epidural haemorrhage', 'diabetes mellitus', 'erythema', 'electrocardiogram st segment elevation', 'thrombocytopenia', 'cutaneous hypersensitivity', 'anaemia', 'spinal haematoma', 'cholestatic liver injury', 'pulmonary oedema', 'dermatitis bullous', 'eosinophilia', 'blood triglycerides increased', 'dyspnoea', 'purpura', 'dermatitis atopic', 'feeling abnormal', 'thrombocytosis', 'non-q wave mi', 'skin exfoliation', 'hypertriglyceridaemia', 'hyperkalaemia', 'local reaction', 'inflammation', 'aspartate aminotransferase increased', 'haemorrhage', 'haemoglobin', 'haematuria', 'hepatocellular injury', 'injection site haemorrhage', 'diabetic', 'major bleed', 'haemorrhage intracranial', 'osteoporosis', 'vascular purpura', 'ecchymosis', 'pain', 'sickness', 'alopecia', 'foetor hepaticus', 'atrial fibrillation', 'diarrhoea', 'malaise', 'pneumonia', 'haematoma']",62
Find all mild toxicities of lmwh,severity_filtered,lmwh,mild,"['pruritus', 'headache', 'vesiculobullous rash', 'rash pustular', 'nausea']",5
What life threatening side effects does meperidine cause?,severity_filtered,meperidine,life_threatening,"['anaphylactic shock', 'coma']",2
List severe adverse events of meperidine,severity_filtered,meperidine,severe,"['complex partial seizures', 'cardiac arrest', 'paralysis']",3
What moderate side effects does meperidine cause?,severity_filtered,meperidine,moderate,"['hypersensitivity', 'auditory and visual hallucinations', 'anuria', 'dermatitis', 'injection site pain', 'loss of consciousness', 'respiratory depression', 'dyskinesia', 'anorexia', 'hypomania', 'sweating', 'hypertension', 'cardiovascular insufficiency', 'paranoia', 'muscle twitching', 'circulatory depression', 'flushing', 'visual disturbance', 'affect lability', 'vasodilation procedure', 'vertigo', 'coordination abnormal', 'drowsiness', 'muscle spasms', 'confusional state', 'cold sweat', 'delirium', 'agitation', 'erythema', 'asthenia', 'myoclonus', 'palpitations', 'skin cold clammy', 'orthostatic hypotension', 'mood swings', 'irritability', 'fibrosis', 'depressed level of consciousness', 'gangrene', 'visual impairment', 'withdrawal syndrome', 'hypotension', 'urinary retention', 'dysphoria', 'psychotic disorder', 'cns depression nos', 'hyperkinesia', 'anxiety', 'somnolence', 'tremor', 'vasodilation', 'libido decreased', 'decreased appetite', 'muscle movement involuntary', 'respiratory arrest', 'mydriasis', 'welts', 'induration', 'phlebitis', 'vomiting', 'shock', 'euphoric mood', 'hyperhidrosis', 'oedema', 'pallor', 'urticaria', 'lightheadedness', 'pulmonary function test decreased', 'disorientation', 'hallucinations, mixed', 'miosis', 'feeling abnormal', 'syncope', 'neurotoxicity', 'hallucination', 'disturbance in sexual arousal', 'convulsion']",77
Find all mild moderate toxicities of meperidine,severity_filtered,meperidine,mild_moderate,"['bradycardia', 'tachycardia']",2
Find all mild toxicities of meperidine,severity_filtered,meperidine,mild,"['dizziness', 'pruritus', 'headache', 'constipation', 'rash', 'nausea', 'dry mouth', 'insomnia']",8
Find all life threatening toxicities of entacapone,severity_filtered,entacapone,life_threatening,['toxic epidermal necrolysis'],1
Find all severe toxicities of entacapone,severity_filtered,entacapone,severe,"['rhabdomyolysis', 'myocardial infarction']",2
What moderate side effects does entacapone cause?,severity_filtered,entacapone,moderate,"['hypersensitivity', 'renal pain', 'menopausal symptoms', 'gastrointestinal symptom nos', 'inflicted injury', 'depression', 'intermittent claudication', 'hypokinesia', 'diplopia', 'dermatitis', 'musculoskeletal discomfort', 'carpal tunnel syndrome', 'loss of consciousness', 'dyskinesia', 'anorexia', 'fibroadenoma of breast', 'altered state of consciousness', 'hypoaesthesia', 'ataxia', 'salivary hypersecretion', 'dyspnoea', 'sweating', 'hypertension', 'gastrointestinal disorder', 'endocrine disorder', 'dysgeusia', 'acute coronary syndrome', 'muscle stiffness', 'hypotonia', 'extrasystoles', 'libido increased', 'paranoia', 'sweating increased', 'nervousness', 'oesophagitis', 'hepatocellular injury', 'disorder sight', 'paranoid reaction', 'cardiovascular disorder', 'ill-defined disorder', 'sleep disturbance', 'loose stools', 'gastrointestinal pain', 'vascular purpura', 'disturbance in attention', 'nocturia', 'mental disorder', 'cataract', 'erectile dysfunction', 'vertigo', 'thinking abnormal', 'hepatobiliary disease', 'body temperature increased', 'muscle spasms', 'confusional state', 'muscle relaxant therapy', 'cardiac disorder', 'delusion', 'liver disorder', 'tooth disorder', 'cold sweat', 'prolonged menses', 'agitation', 'musculoskeletal stiffness', 'ageusia', 'sleep disorder', 'thrombocytopenia', 'asthenia', 'feeling of body temperature change', 'hyperthyroidism', 'fibroadenosis of breast', 'dyspepsia', 'hepatitis', 'consciousness abnormal', 'cholecystitis', 'mental disability', 'abnormal dreams', 'sinusitis', 'hyperglycaemia', 'malnutrition', 'skin cold clammy', 'orthostatic hypotension', 'skin disorder', 'chromaturia', 'haemoglobin', 'haematuria', 'leukopenia', 'cerebration impaired', 'angina pectoris', 'leg pain', 'pain', 'foetor hepaticus', 'myalgia', 'bundle branch block', 'visual impairment', 'faeces discoloured', 'hypotension', 'movements involuntary', 'pathological gambling', 'weight decreased', 'dysphagia', 'eczema', 'hyperkinesia', 'colitis', 'unspecified disorder of skin and subcutaneous tissue', 'anxiety', 'photopsia', 'salivation', 'somnolence', 'hypoglycaemia', 'tremor', 'hepatic function abnormal', 'eye disorder', 'flatulence', 'purpura', 'pain in extremity', 'hyperbilirubinaemia', 'arthritis', 'cardiac valve disease', 'gamma-glutamyltransferase increased', 'diverticulitis', 'neuropathy peripheral', 'decreased appetite', 'haemorrhage', 'hypersexuality', 'epistaxis', 'stiffness', 'urinary tract disorder', 'urine color abnormal', 'chest pain', 'menorrhagia', 'excessive daytime sleepiness', 'herpes simplex', 'binge eating', 'tension', 'parkinsonism aggravated', 'albuminuria', 'fluid retention', 'nervous system disorder', 'pneumonia', 'blood alkaline phosphatase increased', 'vomiting', 'hepatic failure', 'myocardial ischaemia', 'urethral disorder', 'shock', 'piloerection', 'congenital eye disorder', 'cholangitis', 'erythema multiforme', 'hyperhidrosis', 'impulse-control disorder', 'tendonitis', 'phosphatase alkaline increased', 'dysuria', 'cramps of lower extremities', 'urticaria', 'hepatic enzyme increased', 'gastritis', 'pharyngitis', 'hypercholesterolaemia', 'conjunctivitis', 'parkinsonism', 'neuroleptic malignant syndrome', 'injury', 'bacterial infection', 'coagulopathy', 'urinary incontinence', 'feeling abnormal', 'change of bowel habit', 'discomfort', 'hot flush', 'syncope', 'sexual dysfunction', 'cholelithiasis', 'inflammation', 'muscle contractions involuntary', 'fungal skin infection', 'back pain', 'muscular weakness', 'gastroenteritis', 'hallucination', 'disturbance in sexual arousal', 'nightmare', 'malaise', 'convulsion', 'generalised oedema', 'atrial fibrillation', 'diarrhoea', 'bursitis', 'abdominal pain']",191
Show mild moderate reactions to entacapone,severity_filtered,entacapone,mild_moderate,['bradycardia'],1
List mild adverse events of entacapone,severity_filtered,entacapone,mild,"['dizziness', 'pruritus', 'headache', 'fatigue', 'constipation', 'rash', 'rash maculo-papular', 'nausea', 'dry mouth', 'insomnia']",10
Show life threatening reactions to propoxyphene,severity_filtered,propoxyphene,life_threatening,['coma'],1
Show severe reactions to propoxyphene,severity_filtered,propoxyphene,severe,"['cardiac arrest', 'myocardial infarction']",2
List moderate severe adverse events of propoxyphene,severity_filtered,propoxyphene,moderate_severe,['pancreatitis acute'],1
