query,query_type,drug,organ_filter,ground_truth,num_results
Find all immunological adverse events from testosterone,organ_specific,testosterone,immunological,"['hypersensitivity', 'anaphylactic shock', 'anaphylactoid reaction', 'systemic lupus erythematosus', 'leukocytoclastic vasculitis']",5
Show cardiovascular toxicity of testosterone,organ_specific,testosterone,cardiovascular,"['thromboembolism', 'embolism venous', 'cardiac arrest', 'cardiac failure', 'thrombosis', 'cardiac disorder', 'embolism', 'pulmonary embolism', 'palpitations', 'myocardial infarction', 'pulmonary oil microembolism', 'hypertension worsened', 'tachycardia', 'hypertension', 'cardiovascular disorder', 'microembolism', 'angina pectoris', 'venous thromboembolism', 'deep vein thrombosis']",19
What are the psychiatric risks of taking testosterone?,organ_specific,testosterone,psychiatric,"['agitation', 'anxiety', 'depression', 'depression suicidal', ""korsakoff's psychosis (non-alcoholic)"", 'insomnia', 'confusional state']",7
Show musculoskeletal toxicity of testosterone,organ_specific,testosterone,musculoskeletal,"['osteoporosis', 'cramp muscle', 'muscle strain', 'myalgia', 'muscle spasms', 'arthralgia']",6
Find all respiratory adverse events from testosterone,organ_specific,testosterone,respiratory,"['upper respiratory tract infection', 'respiratory distress', 'asthma', 'pulmonary microemboli', 'cough', 'pneumonia', 'chronic obstructive pulmonary disease']",7
Find all otic adverse events from testosterone,organ_specific,testosterone,otic,"['sudden hearing loss', 'tinnitus']",2
What are the endocrine risks of taking testosterone?,organ_specific,testosterone,endocrine,"['glucose tolerance impaired', 'blood glucose increased', 'diabetes mellitus', 'hyperparathyroidism']",4
What are the ocular risks of taking testosterone?,organ_specific,testosterone,ocular,['diplopia'],1
List testosterone's effects on the neurological system,organ_specific,testosterone,neurological,"['dizziness', 'headache', 'migraine', 'vertigo', 'tremor']",5
List testosterone's effects on the hepatobiliary system,organ_specific,testosterone,hepatobiliary,"['hepatic cancer', 'hepatic neoplasm', 'jaundice cholestatic', 'peliosis hepatis', 'liver function test abnormal', 'hepatocellular carcinoma', 'hepatobiliary disease', 'jaundice', 'hepatic function abnormal']",9
What renal side effects does testosterone cause?,organ_specific,testosterone,renal,"['urinary tract disorder', 'renal pain', 'urinary retention', 'urinary incontinence', 'renal impairment', 'urinary tract infection', 'renal colic', 'creatinine increased', 'blood creatinine increased', 'kidney function abnormal', 'poor urinary stream', 'nephrolithiasis', 'urinary hesitation', 'renal failure', 'nephropathy']",15
Find all hematological adverse events from testosterone,organ_specific,testosterone,hematological,"['thrombocytopenia', 'leukopenia']",2
Find all immunological adverse events from pioglitazone,organ_specific,pioglitazone,immunological,"['hypersensitivity', 'anaphylactic shock']",2
List pioglitazone's effects on the cardiovascular system,organ_specific,pioglitazone,cardiovascular,"['cardiac disorder', 'myocardial ischaemia', 'angina pectoris', 'hypertension', 'cardiac failure congestive', 'cardiac failure', 'myocardial infarction']",7
What are the musculoskeletal risks of taking pioglitazone?,organ_specific,pioglitazone,musculoskeletal,"['fracture', 'myalgia', 'multiple fractures', 'muscle spasms', 'arthralgia']",5
What are the neurological risks of taking pioglitazone?,organ_specific,pioglitazone,neurological,"['dizziness', 'headache', 'vertigo']",3
What are the gastrointestinal risks of taking pioglitazone?,organ_specific,pioglitazone,gastrointestinal,"['gastrointestinal disorder', 'abdominal pain upper']",2
What are the hepatobiliary risks of taking pioglitazone?,organ_specific,pioglitazone,hepatobiliary,"['hepatic impairment', 'drug-induced liver injury', 'hepatitis', 'hepatic failure', 'liver disorder', 'hepatic enzyme decreased', 'liver function test abnormal', 'hepatic enzyme increased']",8
Find all renal adverse events from pioglitazone,organ_specific,pioglitazone,renal,"['proteinuria', 'urinary tract infection', 'urinary tract disorder']",3
What respiratory side effects does pioglitazone cause?,organ_specific,pioglitazone,respiratory,"['respiratory tract infection', 'upper respiratory tract infection', 'pulmonary oedema']",3
What dermatological side effects does pioglitazone cause?,organ_specific,pioglitazone,dermatological,"['unspecified disorder of skin and subcutaneous tissue', 'urticaria', 'skin disorder']",3
Find all endocrine adverse events from pioglitazone,organ_specific,pioglitazone,endocrine,"['diabetes mellitus exacerbated', 'diabetes mellitus', 'worsening of diabetes']",3
What are the psychiatric risks of taking pioglitazone?,organ_specific,pioglitazone,psychiatric,['insomnia'],1
Show ocular toxicity of pioglitazone,organ_specific,pioglitazone,ocular,['abnormal vision'],1
What dermatological side effects does amorolfine cause?,organ_specific,amorolfine,dermatological,"['pruritus', 'dermatitis contact']",2
What immunological side effects does amorolfine cause?,organ_specific,amorolfine,immunological,['type iv hypersensitivity reaction'],1
Find all gastrointestinal adverse events from hepatitis,organ_specific,hepatitis,gastrointestinal,"['vomiting', 'nausea', 'gastrointestinal symptom nos', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal pain']",6
Show dermatological toxicity of hepatitis,organ_specific,hepatitis,dermatological,"['dermatitis', 'eczema', 'pruritus', 'urticaria', 'unspecified disorder of skin and subcutaneous tissue', 'rash', 'skin disorder', 'alopecia']",8
What immunological side effects does hepatitis cause?,organ_specific,hepatitis,immunological,"['hypersensitivity', 'anaphylactic shock', 'anaphylactoid reaction', 'vasculitis', 'type iv hypersensitivity reaction']",5
What are the musculoskeletal risks of taking hepatitis?,organ_specific,hepatitis,musculoskeletal,"['bone disorder', 'myalgia', 'arthralgia']",3
Find all respiratory adverse events from hepatitis,organ_specific,hepatitis,respiratory,"['upper respiratory tract infection', 'bronchospasm', 'cough']",3
Find all neurological adverse events from hepatitis,organ_specific,hepatitis,neurological,"['dizziness', 'headache', 'paralysis', 'vertigo', 'polyneuropathy', 'facial paralysis', 'viith nerve paralysis', 'neuropathy peripheral', 'neuropathy']",9
List hepatitis's effects on the cardiovascular system,organ_specific,hepatitis,cardiovascular,['hypotension'],1
What are the ocular risks of taking hepatitis?,organ_specific,hepatitis,ocular,['optic neuritis'],1
What are the hematological risks of taking hepatitis?,organ_specific,hepatitis,hematological,['thrombocytopenia'],1
What are the otic risks of taking hepatitis?,organ_specific,hepatitis,otic,['tinnitus'],1
What are the hepatobiliary risks of taking hepatitis?,organ_specific,hepatitis,hepatobiliary,['liver function test abnormal'],1
Find all gastrointestinal adverse events from oxybutynin,organ_specific,oxybutynin,gastrointestinal,"['vomiting', 'dyspepsia', 'nausea', 'abdominal discomfort', 'colitis', 'abdominal pain upper', 'constipation', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal distension', 'abdominal pain']",11
What immunological side effects does oxybutynin cause?,organ_specific,oxybutynin,immunological,"['hypersensitivity', 'cutaneous hypersensitivity', 'anaphylactic shock']",3
Find all psychiatric adverse events from oxybutynin,organ_specific,oxybutynin,psychiatric,"['agitation', 'anxiety', 'hallucination', 'depression', 'insomnia', 'confusional state']",6
Show cardiovascular toxicity of oxybutynin,organ_specific,oxybutynin,cardiovascular,"['cardiac disorder', 'hypotension', 'sinus arrhythmia', 'tachycardia', 'hypertension', 'palpitations', 'arrhythmia']",7
Find all musculoskeletal adverse events from oxybutynin,organ_specific,oxybutynin,musculoskeletal,['arthralgia'],1
What respiratory side effects does oxybutynin cause?,organ_specific,oxybutynin,respiratory,"['upper respiratory tract infection', 'cough', 'asthma', 'cough increased']",4
Find all ocular adverse events from oxybutynin,organ_specific,oxybutynin,ocular,"['glaucoma', 'vision blurred', 'abnormal vision', 'keratoconjunctivitis sicca', 'conjunctivitis', 'angle closure glaucoma']",6
List oxybutynin's effects on the renal system,organ_specific,oxybutynin,renal,"['urinary tract disorder', 'cystitis', 'urinary retention', 'urinary tract infection', 'creatinine increased', 'blood creatinine increased', 'cystitis noninfective', 'urinary hesitation']",8
Find all dermatological adverse events from oxybutynin,organ_specific,oxybutynin,dermatological,"['dermatitis', 'pruritus', 'application site rash', 'urticaria', 'skin discolouration', 'dermatitis atopic', 'vesiculobullous rash', 'unspecified disorder of skin and subcutaneous tissue', 'rash', 'application site pruritus', 'skin disorder', 'dry skin', 'rash pustular', 'dermatitis bullous']",14
List oxybutynin's effects on the neurological system,organ_specific,oxybutynin,neurological,"['dizziness', 'headache', 'migraine', 'sinus headache']",4
What are the otic risks of taking oxybutynin?,organ_specific,oxybutynin,otic,['tinnitus'],1
Show hepatobiliary toxicity of oxybutynin,organ_specific,oxybutynin,hepatobiliary,['liver function test abnormal'],1
What endocrine side effects does oxybutynin cause?,organ_specific,oxybutynin,endocrine,['blood glucose increased'],1
List diazepam's effects on the gastrointestinal system,organ_specific,diazepam,gastrointestinal,"['vomiting', 'dyspepsia', 'nausea', 'constipation', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal pain']",7
Find all immunological adverse events from diazepam,organ_specific,diazepam,immunological,"['hypersensitivity', 'anaphylactic shock', 'type i hypersensitivity']",3
Show cardiovascular toxicity of diazepam,organ_specific,diazepam,cardiovascular,"['heart rate irregular', 'cardiac disorder', 'hypotension', 'cardiac arrest', 'venous thrombosis', 'tachycardia', 'bradycardia', 'orthostatic hypotension', 'cardiovascular insufficiency', 'palpitations', 'cardiac failure', 'arrhythmia', 'myocardial infarction']",13
List diazepam's effects on the musculoskeletal system,organ_specific,diazepam,musculoskeletal,"['muscle twitching', 'fracture', 'muscle relaxant therapy', 'cramp muscle', 'myalgia', 'multiple fractures', 'muscle spasms', 'arthralgia']",8
List diazepam's effects on the respiratory system,organ_specific,diazepam,respiratory,"['cough increased', 'respiratory arrest', 'pulmonary function test decreased', 'asthma', 'hypoxia', 'respiratory failure', 'cough', 'pneumonia']",8
What neurological side effects does diazepam cause?,organ_specific,diazepam,neurological,"['dizziness', 'ataxia', 'headache', 'vertigo']",4
What are the psychiatric risks of taking diazepam?,organ_specific,diazepam,psychiatric,"['auditory and visual hallucinations', 'agitation', 'suicidal ideation', 'hallucination', 'respiratory depression', 'circulatory depression', 'hallucinations, mixed', 'depression', 'insomnia', 'confusional state']",10
What ocular side effects does diazepam cause?,organ_specific,diazepam,ocular,"['diplopia', 'vision blurred', 'abnormal vision', 'conjunctivitis']",4
Find all dermatological adverse events from diazepam,organ_specific,diazepam,dermatological,"['dermatitis', 'pruritus', 'dermatitis exfoliative', 'urticaria', 'skin discolouration', 'unspecified disorder of skin and subcutaneous tissue', 'rash', 'dyskinesia', 'skin disorder', 'photosensitivity', 'photosensitivity reaction']",11
List diazepam's effects on the hepatobiliary system,organ_specific,diazepam,hepatobiliary,"['hepatobiliary disease', 'hepatic function abnormal', 'jaundice']",3
What are the hematological risks of taking diazepam?,organ_specific,diazepam,hematological,"['thrombocytopenia', 'neutropenia', 'leukopenia']",3
Find all renal adverse events from diazepam,organ_specific,diazepam,renal,"['urinary tract disorder', 'urinary retention', 'urinary incontinence', 'urinary tract infection', 'renal failure']",5
Show immunological toxicity of methazolamide,organ_specific,methazolamide,immunological,['anaphylactic shock'],1
List methazolamide's effects on the psychiatric system,organ_specific,methazolamide,psychiatric,"['bone marrow depression', 'confusional state']",2
What are the dermatological risks of taking methazolamide?,organ_specific,methazolamide,dermatological,"['dermatitis', 'urticaria', 'rash', 'photosensitivity reaction', 'photosensitivity']",5
Find all neurological adverse events from methazolamide,organ_specific,methazolamide,neurological,"['paralysis flaccid', 'headache', 'vertigo']",3
Find all renal adverse events from methazolamide,organ_specific,methazolamide,renal,"['calculus of kidney', 'nephrolithiasis']",2
What are the hematological risks of taking methazolamide?,organ_specific,methazolamide,hematological,"['leukopenia', 'pancytopenia']",2
What are the gastrointestinal risks of taking methazolamide?,organ_specific,methazolamide,gastrointestinal,"['vomiting', 'gastrointestinal disorder', 'nausea', 'dyspepsia']",4
What otic side effects does methazolamide cause?,organ_specific,methazolamide,otic,['tinnitus'],1
Show hepatobiliary toxicity of methazolamide,organ_specific,methazolamide,hepatobiliary,"['hepatic insufficiency', 'hepatic necrosis', 'hepatic failure']",3
Show gastrointestinal toxicity of lurasidone,organ_specific,lurasidone,gastrointestinal,"['vomiting', 'dyspepsia', 'nausea', 'abdominal discomfort', 'abdominal pain upper', 'gastritis', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal pain']",9
What are the cardiovascular risks of taking lurasidone?,organ_specific,lurasidone,cardiovascular,"['cardiac disorder', 'hypotension', 'cardiovascular disorder', 'pulmonary embolism', 'embolism venous', 'tachycardia', 'angina pectoris', 'hypertension', 'orthostatic hypotension', 'bradycardia', 'venous thromboembolism', 'arrhythmia', 'deep vein thrombosis']",13
List lurasidone's effects on the psychiatric system,organ_specific,lurasidone,psychiatric,"['agitation', 'suicidal ideation', 'anxiety', 'suicidal behaviour', 'hypomania', 'insomnia']",6
Show endocrine toxicity of lurasidone,organ_specific,lurasidone,endocrine,"['blood glucose increased', 'diabetes mellitus']",2
What neurological side effects does lurasidone cause?,organ_specific,lurasidone,neurological,"['parkinsonism', 'dizziness', ""parkinson's disease"", 'vertigo', 'tremor']",5
What dermatological side effects does lurasidone cause?,organ_specific,lurasidone,dermatological,"['dermatitis', 'pruritus', 'tardive dyskinesia', 'unspecified disorder of skin and subcutaneous tissue', 'rash', 'dyskinesia', 'skin disorder']",7
Find all hematological adverse events from lurasidone,organ_specific,lurasidone,hematological,"['neutropenia', 'leukopenia']",2
Find all musculoskeletal adverse events from lurasidone,organ_specific,lurasidone,musculoskeletal,"['rhabdomyolysis', 'myalgia', 'muscle rigidity', 'joint stiffness', 'muscle spasms']",5
Find all renal adverse events from lurasidone,organ_specific,lurasidone,renal,"['urinary tract disorder', 'urinary tract infection', 'creatinine increased', 'serum creatinine increased', 'blood creatinine increased', 'renal failure']",6
What are the hepatobiliary risks of taking lurasidone?,organ_specific,lurasidone,hepatobiliary,['hepatobiliary disease'],1
Find all ocular adverse events from lurasidone,organ_specific,lurasidone,ocular,['vision blurred'],1
Show musculoskeletal toxicity of mianserin,organ_specific,mianserin,musculoskeletal,"['myalgia', 'arthralgia']",2
What are the psychiatric risks of taking mianserin?,organ_specific,mianserin,psychiatric,"['bone marrow depression', 'agitation', 'suicidal ideation', 'hypomania', 'confusional state']",5
Show gastrointestinal toxicity of mianserin,organ_specific,mianserin,gastrointestinal,"['gastrointestinal disorder', 'constipation']",2
Show ocular toxicity of mianserin,organ_specific,mianserin,ocular,['diplopia'],1
What are the neurological risks of taking mianserin?,organ_specific,mianserin,neurological,"['dizziness', 'headache', 'vertigo', 'tremor']",4
Show dermatological toxicity of mianserin,organ_specific,mianserin,dermatological,"['dermatitis', 'pruritus', 'unspecified disorder of skin and subcutaneous tissue', 'rash', 'skin disorder']",5
What cardiovascular side effects does mianserin cause?,organ_specific,mianserin,cardiovascular,"['cardiac disorder', 'hypotension', 'cardiac arrest', 'tachycardia', 'hypertension', 'bradycardia', 'cardiac failure']",7
Find all hepatobiliary adverse events from mianserin,organ_specific,mianserin,hepatobiliary,"['hepatitis', 'hepatic enzyme increased', 'hepatobiliary disease', 'jaundice', 'hepatic function abnormal']",5
List mianserin's effects on the hematological system,organ_specific,mianserin,hematological,"['thrombocytopenia', 'neutropenia', 'leukopenia', 'pancytopenia']",4
Show otic toxicity of mianserin,organ_specific,mianserin,otic,['tinnitus'],1
Find all gastrointestinal adverse events from phendimetrazine,organ_specific,phendimetrazine,gastrointestinal,"['abdominal pain upper', 'nausea', 'constipation', 'abdominal pain']",4
Show neurological toxicity of phendimetrazine,organ_specific,phendimetrazine,neurological,"['dizziness', 'headache', 'tremor']",3
Show cardiovascular toxicity of phendimetrazine,organ_specific,phendimetrazine,cardiovascular,"['pulmonary arterial hypertension', 'tachycardia', 'primary pulmonary hypertension', 'cardiac valve disease', 'palpitations']",5
Show psychiatric toxicity of phendimetrazine,organ_specific,phendimetrazine,psychiatric,"['insomnia', 'agitation']",2
Find all ocular adverse events from phendimetrazine,organ_specific,phendimetrazine,ocular,['vision blurred'],1
What are the gastrointestinal risks of taking trandolaprilat?,organ_specific,trandolaprilat,gastrointestinal,"['vomiting', 'dyspepsia', 'nausea', 'gastritis', 'constipation', 'gastrointestinal pain', 'abdominal distension', 'abdominal pain']",8
List trandolaprilat's effects on the dermatological system,organ_specific,trandolaprilat,dermatological,"['dermatitis', 'rash', 'alopecia', 'pruritus']",4
List trandolaprilat's effects on the cardiovascular system,organ_specific,trandolaprilat,cardiovascular,"['hypotension', 'myocardial ischaemia', 'tachycardia', 'angina pectoris', 'bradycardia', 'palpitations', 'ventricular tachycardia', 'cardiac failure', 'arrhythmia', 'myocardial infarction']",10
Find all psychiatric adverse events from trandolaprilat,organ_specific,trandolaprilat,psychiatric,"['anxiety', 'hallucination', 'insomnia']",3
Show respiratory toxicity of trandolaprilat,organ_specific,trandolaprilat,respiratory,"['upper respiratory tract infection', 'cough', 'pulmonary eosinophilia']",3
Show neurological toxicity of trandolaprilat,organ_specific,trandolaprilat,neurological,"['dizziness', 'headache', 'vertigo']",3
List trandolaprilat's effects on the hepatobiliary system,organ_specific,trandolaprilat,hepatobiliary,"['hepatitis', 'hepatic enzyme increased', 'jaundice']",3
List trandolaprilat's effects on the musculoskeletal system,organ_specific,trandolaprilat,musculoskeletal,"['myalgia', 'cramp muscle', 'muscle spasms']",3
Find all hematological adverse events from trandolaprilat,organ_specific,trandolaprilat,hematological,"['thrombocytopenia', 'pancytopenia']",2
List trandolaprilat's effects on the renal system,organ_specific,trandolaprilat,renal,"['renal artery stenosis', 'renal impairment', 'creatinine increased', 'blood creatinine increased', 'renal failure']",5
Find all gastrointestinal adverse events from doxazosin,organ_specific,doxazosin,gastrointestinal,"['vomiting', 'dyspepsia', 'nausea', 'abdominal discomfort', 'gastrointestinal tract irritation', 'constipation', 'gastrointestinal pain', 'abdominal distension', 'abdominal pain', 'gastrointestinal haemorrhage', 'gastric ulcer']",11
List doxazosin's effects on the dermatological system,organ_specific,doxazosin,dermatological,"['dermatitis', 'eczema', 'pruritus', 'urticaria', 'pruritus genital', 'rash erythematous', 'rash', 'dyskinesia', 'skin hypertrophy', 'skin disorder', 'alopecia', 'seborrhoeic dermatitis', 'dry skin', 'photosensitivity reaction', 'psoriasis flare-up', 'rash maculo-papular', 'psoriasis']",17
Find all cardiovascular adverse events from doxazosin,organ_specific,doxazosin,cardiovascular,"['hypotension', 'myocardial ischaemia', 'hypertension worsened', 'tachycardia', 'angina pectoris', 'hypertension', 'orthostatic hypotension', 'bradycardia', 'palpitations', 'essential hypertension', 'cardiac failure', 'arrhythmia', 'myocardial infarction']",13
What psychiatric side effects does doxazosin cause?,organ_specific,doxazosin,psychiatric,"['agitation', 'anxiety', 'depression', 'insomnia', 'confusional state']",5
Find all musculoskeletal adverse events from doxazosin,organ_specific,doxazosin,musculoskeletal,"['muscle twitching', 'polymyalgia rheumatica', 'cramp muscle', 'myalgia', 'tendon disorder', 'muscle spasms', 'arthralgia']",7
Show neurological toxicity of doxazosin,organ_specific,doxazosin,neurological,"['dizziness', 'ataxia', 'headache', 'migraine', 'tonic-clonic seizures', 'vertigo', 'dizziness postural', 'tremor']",8
What are the respiratory risks of taking doxazosin?,organ_specific,doxazosin,respiratory,"['upper respiratory tract infection', 'bronchospasm', 'respiratory tract infection', 'bronchospasm aggravated', 'cough', 'pneumonia']",6
What are the hepatobiliary risks of taking doxazosin?,organ_specific,doxazosin,hepatobiliary,"['hepatitis', 'hepatitis cholestatic', 'liver function test abnormal', 'jaundice', 'cholestasis']",5
Find all ocular adverse events from doxazosin,organ_specific,doxazosin,ocular,"['cataract', 'vision blurred', 'abnormal vision', 'diplopia', 'conjunctivitis']",5
List doxazosin's effects on the renal system,organ_specific,doxazosin,renal,"['cystitis', 'urinary retention', 'renal pain', 'urinary incontinence', 'urinary tract infection', 'cystitis noninfective', 'nephrolithiasis', 'oliguria', 'calculus of kidney', 'renal failure chronic']",10
What are the otic risks of taking doxazosin?,organ_specific,doxazosin,otic,"['deafness', 'tinnitus']",2
What are the immunological risks of taking doxazosin?,organ_specific,doxazosin,immunological,['hypersensitivity'],1
What hematological side effects does doxazosin cause?,organ_specific,doxazosin,hematological,"['thrombocytopenia', 'neutropenia', 'leukopenia']",3
What psychiatric side effects does amobarbital cause?,organ_specific,amobarbital,psychiatric,"['agitation', 'anxiety', 'hallucination', 'cns depression nos', 'confusional state']",5
Show neurological toxicity of amobarbital,organ_specific,amobarbital,neurological,"['dizziness', 'ataxia', 'headache']",3
What are the gastrointestinal risks of taking amobarbital?,organ_specific,amobarbital,gastrointestinal,"['vomiting', 'nausea', 'constipation']",3
What dermatological side effects does amobarbital cause?,organ_specific,amobarbital,dermatological,"['dermatitis', 'dermatitis exfoliative', 'rash']",3
Show immunological toxicity of amobarbital,organ_specific,amobarbital,immunological,['hypersensitivity'],1
List amobarbital's effects on the cardiovascular system,organ_specific,amobarbital,cardiovascular,"['hypotension', 'bradycardia']",2
What hepatobiliary side effects does amobarbital cause?,organ_specific,amobarbital,hepatobiliary,"['hepatocellular injury', 'liver injury']",2
Find all respiratory adverse events from amobarbital,organ_specific,amobarbital,respiratory,"['respiratory failure', 'hypoxia']",2
List ethacrynic's effects on the psychiatric system,organ_specific,ethacrynic,psychiatric,"['anxiety', 'confusional state']",2
What are the otic risks of taking ethacrynic?,organ_specific,ethacrynic,otic,"['deafness', 'tinnitus']",2
What are the dermatological risks of taking ethacrynic?,organ_specific,ethacrynic,dermatological,"['dermatitis', 'rash']",2
Find all gastrointestinal adverse events from ethacrynic,organ_specific,ethacrynic,gastrointestinal,"['vomiting', 'abdominal discomfort', 'nausea', 'gastrointestinal haemorrhage']",4
List ethacrynic's effects on the neurological system,organ_specific,ethacrynic,neurological,"['headache', 'vertigo']",2
Show hepatobiliary toxicity of ethacrynic,organ_specific,ethacrynic,hepatobiliary,"['liver function test abnormal', 'jaundice']",2
What are the hematological risks of taking ethacrynic?,organ_specific,ethacrynic,hematological,"['neutropenia', 'thrombocytopenia']",2
Find all ocular adverse events from ethacrynic,organ_specific,ethacrynic,ocular,['vision blurred'],1
Show immunological toxicity of refludan,organ_specific,refludan,immunological,"['hypersensitivity', 'anaphylactic shock']",2
What respiratory side effects does refludan cause?,organ_specific,refludan,respiratory,"['pneumonia', 'bronchospasm', 'cough', 'pulmonary haemorrhage']",4
Show psychiatric toxicity of refludan,organ_specific,refludan,psychiatric,"['agitation', 'insomnia', 'confusional state']",3
List refludan's effects on the cardiovascular system,organ_specific,refludan,cardiovascular,"['hypotension', 'pulmonary embolism', 'cardiac arrest', 'arterial thrombosis', 'bradycardia', 'cardiac failure', 'acute myocardial infarction', 'ventricular tachycardia', 'coronary artery thrombosis']",9
List refludan's effects on the gastrointestinal system,organ_specific,refludan,gastrointestinal,"['vomiting', 'dyspepsia', 'gastritis', 'gastritis haemorrhagic', 'nausea', 'gastrointestinal haemorrhage']",6
What dermatological side effects does refludan cause?,organ_specific,refludan,dermatological,"['dermatitis', 'eczema', 'pruritus', 'urticaria', 'skin necrosis', 'unspecified disorder of skin and subcutaneous tissue', 'rash', 'skin exfoliation', 'skin haemorrhage', 'skin disorder']",10
Find all hematological adverse events from refludan,organ_specific,refludan,hematological,['gingival bleeding'],1
List refludan's effects on the neurological system,organ_specific,refludan,neurological,['headache'],1
What are the hepatobiliary risks of taking refludan?,organ_specific,refludan,hepatobiliary,"['liver function test abnormal', 'hepatic function abnormal']",2
Show renal toxicity of refludan,organ_specific,refludan,renal,"['blood creatinine increased', 'renal impairment', 'kidney function abnormal', 'serum creatinine increased']",4
Show gastrointestinal toxicity of gonadorelin,organ_specific,gonadorelin,gastrointestinal,"['vomiting', 'nausea', 'abdominal discomfort', 'constipation', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal pain']",7
What are the immunological risks of taking gonadorelin?,organ_specific,gonadorelin,immunological,"['hypersensitivity', 'anaphylactic shock']",2
What are the neurological risks of taking gonadorelin?,organ_specific,gonadorelin,neurological,['headache'],1
Find all dermatological adverse events from gonadorelin,organ_specific,gonadorelin,dermatological,['pruritus'],1
Find all cardiovascular adverse events from gonadorelin,organ_specific,gonadorelin,cardiovascular,"['embolism', 'embolism venous', 'thromboembolism']",3
Show respiratory toxicity of gonadorelin,organ_specific,gonadorelin,respiratory,['upper respiratory tract infection'],1
Show cardiovascular toxicity of enflurane,organ_specific,enflurane,cardiovascular,"['hypotension', 'arrhythmia']",2
Find all gastrointestinal adverse events from enflurane,organ_specific,enflurane,gastrointestinal,"['vomiting', 'nausea']",2
List enflurane's effects on the hepatobiliary system,organ_specific,enflurane,hepatobiliary,"['hepatic failure', 'hepatic necrosis', 'traumatic liver injury', 'liver injury', 'hepatotoxicity']",5
What psychiatric side effects does enflurane cause?,organ_specific,enflurane,psychiatric,['respiratory depression'],1
What respiratory side effects does enflurane cause?,organ_specific,enflurane,respiratory,['pulmonary function test decreased'],1
Find all gastrointestinal adverse events from entacapone,organ_specific,entacapone,gastrointestinal,"['vomiting', 'dyspepsia', 'nausea', 'colitis', 'gastritis', 'constipation', 'gastrointestinal symptom nos', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal pain']",10
Find all cardiovascular adverse events from entacapone,organ_specific,entacapone,cardiovascular,"['cardiac disorder', 'hypotension', 'myocardial ischaemia', 'cardiovascular disorder', 'bradycardia', 'angina pectoris', 'hypertension', 'orthostatic hypotension', 'cardiac valve disease', 'myocardial infarction']",10
What are the psychiatric risks of taking entacapone?,organ_specific,entacapone,psychiatric,"['agitation', 'anxiety', 'hallucination', 'depression', 'insomnia', 'confusional state']",6
Show neurological toxicity of entacapone,organ_specific,entacapone,neurological,"['parkinsonism', 'dizziness', 'ataxia', 'headache', 'vertigo', 'parkinsonism aggravated', 'tremor', 'neuropathy peripheral']",8
Show renal toxicity of entacapone,organ_specific,entacapone,renal,"['urinary incontinence', 'urinary tract disorder', 'renal pain', 'cholecystitis']",4
List entacapone's effects on the ocular system,organ_specific,entacapone,ocular,"['diplopia', 'conjunctivitis', 'cataract']",3
Find all dermatological adverse events from entacapone,organ_specific,entacapone,dermatological,"['dermatitis', 'fungal skin infection', 'eczema', 'pruritus', 'urticaria', 'unspecified disorder of skin and subcutaneous tissue', 'rash', 'dyskinesia', 'skin cold clammy', 'skin disorder', 'rash maculo-papular']",11
Show hepatobiliary toxicity of entacapone,organ_specific,entacapone,hepatobiliary,"['hepatocellular injury', 'liver disorder', 'hepatitis', 'hepatic failure', 'hepatic enzyme increased', 'hepatobiliary disease', 'foetor hepaticus', 'hepatic function abnormal']",8
Show immunological toxicity of entacapone,organ_specific,entacapone,immunological,['hypersensitivity'],1
Find all endocrine adverse events from entacapone,organ_specific,entacapone,endocrine,['hyperthyroidism'],1
Find all musculoskeletal adverse events from entacapone,organ_specific,entacapone,musculoskeletal,"['tendonitis', 'rhabdomyolysis', 'muscle spasms', 'muscle stiffness', 'myalgia', 'muscle relaxant therapy', 'muscle contractions involuntary']",7
List entacapone's effects on the hematological system,organ_specific,entacapone,hematological,"['thrombocytopenia', 'leukopenia']",2
What are the respiratory risks of taking entacapone?,organ_specific,entacapone,respiratory,['pneumonia'],1
What are the gastrointestinal risks of taking nortriptyline?,organ_specific,nortriptyline,gastrointestinal,"['vomiting', 'abdominal cramps', 'nausea', 'dyspepsia', 'epigastric distress', 'constipation', 'abdominal pain']",7
List nortriptyline's effects on the dermatological system,organ_specific,nortriptyline,dermatological,"['dermatitis', 'pruritus', 'yellow skin', 'urticaria', 'dermatitis atopic', 'rash', 'alopecia']",7
List nortriptyline's effects on the psychiatric system,organ_specific,nortriptyline,psychiatric,"['delirium', 'bone marrow depression', 'agitation', 'suicidal ideation', 'hallucination', 'anxiety', 'mania', 'hypomania', 'insomnia', 'confusional state']",10
List nortriptyline's effects on the cardiovascular system,organ_specific,nortriptyline,cardiovascular,"['heart rate irregular', 'hypotension', 'tachycardia', 'hypertension', 'orthostatic hypotension', 'palpitations', 'ventricular tachycardia', 'arrhythmia', 'block heart', 'myocardial infarction']",10
What neurological side effects does nortriptyline cause?,organ_specific,nortriptyline,neurological,"['dizziness', 'ataxia', 'headache', 'tremor', 'neuropathy peripheral']",5
