query,query_type,side_effect,ground_truth_drugs,num_drugs
What drugs are associated with conjunctivitis allergic?,class_based,conjunctivitis allergic,"['bimatoprost', 'travoprost', 'brinzolamide', 'nepafenac', 'diclofenac', 'brimonidine', 'nilotinib', 'sitaxsentan', 'delamanid', 'azarga', 'tafluprost', 'atropine', 'pegaptanib', 'cyclopentolate']",14
List medications that can lead to shivering,class_based,shivering,"['paroxetine', 'tropisetron', 'bupivacaine', 'propofol', 'fentanyl', 'retinoic', 'dolasetron', 'remifentanil', 'naloxone', 'citalopram', 'tramadol', 'alfentanil', 'sufentanil', 'acebutolol', 'hydromorphone', 'saquinavir', 'oxycodone', 'flumazenil', 'carboprost', 'capecitabine', 'iopromide', 'droperidol', 'morphine', 'sumatriptan', 'fe(iii', 'ceftriaxone', 'gemcitabine', 'lidocaine', 'l-dmp', 'gadopentetate', 'bosentan', 'iotrolan', 'gd-dtpa', 'enflurane', 'isoflurane', 'clonazepam', 'acetaminophen', 'sevoflurane', 'pge2', 'ondansetron']",40
Which drugs cause aplasia?,class_based,aplasia,"['allopurinol', 'nitrogen', 'ranitidine', 'famp', 'fludarabine', 'bortezomib', 'ofatumumab', 'idarubicin', 'linezolid', 'busulfan', 'amsacrine', 'primidone']",12
Which drugs cause pharyngolaryngeal pain?,class_based,pharyngolaryngeal pain,"['vigabatrin', 'bupropion', 'itraconazole', 'fentanyl', 'aripiprazole', 'deferasirox', 'olanzapine', 'testosterone', 'ribavirin', 'atomoxetine', 'tiotropium', 'imatinib', ""5-aza-2'-deoxycytidine"", 'tetrahydrobiopterin', 'aztreonam', 'azarga', 'methylphenidate', 'oxybutynin', 'telithromycin', 'pralatrexate', 'risperidone', 'alprazolam', '4-ap', 'duloxetine', 'metrodin', 'brinzolamide', 'neostigmine', 'prednisolone', 'tobramycin', 'olopatadine', 'ofatumumab', 'estradiol', 'nilotinib', 'doxepin', 'zileuton', 'aliskiren', 'lubiprostone', 'fenofibric', 'balsalazide', 'pregabalin', 'cgp', 'vinflunine', 'triamcinolone', 'rasburicase', 'rotigotine', 'olmesartan', 'fesoterodine', 'lercanidipine', 'levetiracetam', 'paliperidone', 'fenofibrate', 'famciclovir', 'pramipexole', 'buprenorphine', 'colimycin', '5-azacytidine', 'terbinafine', 'conivaptan', 'docetaxel', 'sildenafil', 'trandolapril', '5-asa', 'mannitol', 'citalopram', 'tramadol', 'tegaserod', 'sugammadex', 'doxycycline', 'nicotine', 'capecitabine', 'bendamustine', 'insulin', 'ustekinumab', 'cancidas', 'colchicine', 'paclitaxel', 'varenicline', 'gd-dtpa', 'iloprost', 'promacta', 'ropinirole', 'gadofosveset', 'ciclesonide', 'thymidine', 'naltrexone', 'quetiapine', 'tenofovir', 'fluticasone', 'ixabepilone', 'everolimus', 'azelastine', 'sitagliptin', 'dexmedetomidine', 'mycophenolic', 'lomitapide', 'aprepitant', 'lamotrigine', 'moxifloxacin', 'imiquimod', 'telavancin', 'ly146032', 'treprostinil', 'rifaximin', 'atorvastatin']",104
Show me drugs known to cause eczema,class_based,eczema,"['perphenazine', 'scopolamine', 'bupropion', 'gliclazide', 'maraviroc', 'd-telaprevir', 'dfmo', 'fentanyl', 'aripiprazole', 'sibutramine', 'piroxicam', 'venlafaxine', 'amiodarone', 'budesonide', 'olanzapine', 'trospium', 'cortisol', 'dronedarone', 'testosterone', 'ribavirin', 'donepezil', 'piperacillin', 'acyclovir', 'cyproterone', 'fluvoxamine', 'pergolide', 'fluocinolone', 'imatinib', 'oseltamivir', 'acamprosate', 'gemfibrozil', 'tazarotene', 'leflunomide', 'methylphenidate', 'pilocarpine', 'westcort', 'telithromycin', 'pantoprazole', 'acitretin', 'refludan', 'montelukast', 'pentostatin', 'valdecoxib', 'betaxolol', 'lantus', 'risperidone', 'naproxen', 'rasagiline', 'allopurinol', 'duloxetine', 'prochlorperazine', 'darunavir', 'nitroglycerin', 'nystatin', 'alosetron', 'metrodin', 'icodextrin', 'memantine', 'cetirizine', 'flunisolide', 'vacv', 'ritonavir', 'candesartan', 'retinoic', 'zolmitriptan', 'doxazosin', 'oxcarbazepine', 'rivastigmine', 'org', 'etoricoxib', 'estradiol', 'nilotinib', 'retapamulin', 'bisoprolol', 'doxepin', 'gemifloxacin', 'nedocromil', 'clopidogrel', 'cevimeline', 'pregabalin', 'k779', 'clozapine', 'nefazodone', 'triamcinolone', 'boceprevir', 'l-dmp', 'fluphenazine', 'atropine', 'riluzole', 'gabapentin', 'homatropine', 'fluorescein', 'lactate', 'voriconazole', 'agomelatine', 'rotigotine', 'olmesartan', 'doxorubicin', 'clomipramine', 'levetiracetam', 'ziprasidone', 'paliperidone', 'dasatinib', 'glat', 'fenofibrate', 'hepatitis', 'deprenyl', 'tiagabine', 'lovaza', 'paroxetine', 'pramipexole', 'adapalene', 'levonorgestrel', 'terbinafine', 'eletriptan', 'zonisamide', 'rifapentine', 'glipizide', 'topiramate', 'trandolapril', 'tolcapone', 'ketoprofen', '5-asa', 'tacrolimus', 'citalopram', 'tramadol', 'nuvaring', 'azithromycin', 'saquinavir', 'sunitinib', 'bezafibrate', 'strontium', 'flurbiprofen', 'temsirolimus', 'sumatriptan', 'febuxostat', 'ofloxacin', 'amantadine', 'insulin', 'cidofovir', 'v', 'fluvastatin', 'lomefloxacin', 'methyl', 'lenalidomide', 'varenicline', 'isosorbide-5-mononitrate', 'orlistat', 'sorafenib', 'zopiclone', 'ciclopirox', 'latanoprost', 'ropinirole', 'modafinil', 'efavirenz', 'copolymer', 'perindopril', 'mupirocin', 'thalidomide', 'entacapone', 'gold', 'salmon', 'quinidine', 'fluoxetine', 'eprosartan', 'simvastatin', 'trifluoperazine', 'diclofenac', 'verteporfin', 'quetiapine', 'melatonin', 'fluticasone', 'pegaptanib', 'telmisartan', 'azelastine', 'sertraline', 'sitagliptin', 'phenyllactate', 'atazanavir', 'su5416', 'hydroxocobalamin', 'niacin', 'lamotrigine', 'bosentan', 'moxifloxacin', 'lisinopril', 'imiquimod', 'zaleplon', 'fty720', 'salmeterol', 'ly146032', 'prostacyclin', 'salbutamol', 'atorvastatin', 'methyldopa']",195
List medications that can lead to pelvic pain,class_based,pelvic pain,"['mycophenolate', 'rofecoxib', 'fentanyl', 'aripiprazole', 'formoterol', 'sibutramine', 'conjugated', 'venlafaxine', 'olanzapine', 'ibandronate', 'cilostazol', 'pge1', 'testosterone', 'atomoxetine', 'fluvoxamine', 'pergolide', 'rapamycin', 'medroxyprogesterone', 'leflunomide', 'goserelin', 'pomalidomide', 'nifedipine', 'nitazoxanide', 'gadolinium', 'metrodin', 'gonadorelin', 'ritonavir', 'cabazitaxel', 'org', 'tamoxifen', 'estradiol', 'clindamycin', 'ici', 'pregabalin', 'k779', 'nefazodone', 'bexarotene', 'vinflunine', 'degarelix', 'danazol', 'l-dmp', 'gabapentin', 'voriconazole', 'doxorubicin', 'valrubicin', 'deprenyl', 'tibolone', 'tiagabine', 'paroxetine', 'levonorgestrel', 'topotecan', 'citalopram', 'tramadol', 'gadoversetamide', 'meropenem', 'pentosan', 'nuvaring', 'saquinavir', 'bortezomib', 'oestrogen', 'fosphenytoin', 'supremon', 'lenalidomide', 'gd-dtpa', 'bicalutamide', 'gadofosveset', 'diethylenetriaminepentaacetic', 'tinidazole', 'fluoxetine', 'lansoprazole', 'quetiapine', 'phenytoin', 'bivalirudin', 'atazanavir', 'mycophenolic', 'aprepitant', 'moxifloxacin', 'lisinopril', 'anastrozole', 'rabeprazole']",80
Which drugs cause dependence physiological?,class_based,dependence physiological,"['hydromorphone', 'olanzapine', 'oxycodone', 'diazepam', 'paroxetine', 'zaleplon', 'lormetazepam', 'pregabalin', 'nefazodone', 'citalopram', 'clonazepam', 'midazolam', 'morphine', 'ephedrine', 'fentanyl', 'mirtazapine', 'ziprasidone', 'fluoxetine']",18
Show me drugs known to cause mediastinal disorder,class_based,mediastinal disorder,"['mycophenolate', 'afatinib', 'codeine', 'clonidine', 'maraviroc', 'axitinib', 'gadobenate', 'itraconazole', 'iron', 'aripiprazole', 'isradipine', 'ribavirin', 'phentolamine', 'ketoconazole', 'hydromorphone', 'medroxyprogesterone', 'oseltamivir', 'cisplatin', 'reboxetine', 'sulfasalazine', 'oxybutynin', 'refludan', 'teduglutide', 'pomalidomide', 'nifedipine', 'naproxen', 'tetraen', '4-ap', 'dihydrocodeine', 'silodosin', 'sofosbuvir', 'imipramine', 'metrodin', 'tadalafil', 'minoxidil', 'rivastigmine', 'cabazitaxel', 'mivacurium', 'parecoxib', 'risedronate', 'valproate', 'ciprofloxacin', 'lubiprostone', 'balsalazide', 'tofacitinib', 'lamivudine', 'roflumilast', 'miconazole', 'fluorescein', 'voriconazole', 'rotigotine', 'histamine', 'rivaroxaban', 'eplerenone', 'fenofibrate', 'pramipexole', 'buprenorphine', 'a77', 'brimonidine', 'midazolam', 'levonorgestrel', 'azilsartan', 'lisdexamfetamine', '5-asa', 'ivabradine', 'vincristine', 'tramadol', 'optison', 'fosaprepitant', 'gadoversetamide', 'iohexol', 'oxymorphone', 'x', 'metronidazole', 'posaconazole', 'strontium', 'meloxicam', 'morphine', 'bendamustine', 'febuxostat', 'leuprorelin', 'paclitaxel', 'prasugrel', 'varenicline', 'orlistat', 'apremilast', 'alfuzosin', 'deferoxamine', 'regadenoson', 'gadofosveset', 'ciclesonide', 'metoprolol', 'mometasone', 'mianserin', 'thalidomide', 'oxaliplatin', 'naltrexone', 'lansoprazole', 'bosutinib', 'anidulafungin', 'oxycodone', 'telmisartan', 'nelarabine', 'ranolazine', 'everolimus', 'atazanavir', 'perampanel', 'mycophenolic', 'amlodipine', 'pazopanib', 'moxifloxacin', 'imiquimod', 'haloperidol', 'udca', 'carbamazepine', 'atorvastatin', 'baclofen', 'demethyl', 'anagrelide', 'ganciclovir', 'deferasirox', 'riociguat', 'bromocriptine', 'dronedarone', 'ibandronate', 'cilostazol', 'alfentanil', 'atomoxetine', 'delamanid', 'vernakalant', 'acyclovir', 'rapamycin', 'fluocinolone', 'triptorelin', 'pirfenidone', ""5-aza-2'-deoxycytidine"", 'tetrahydrobiopterin', 'iopromide', 'ticagrelor', 'lapatinib', 'ponatinib', 'montelukast', 'betaxolol', 'melphalan', 'sevelamer', 'alprazolam', 'tolvaptan', 'darunavir', 'brinzolamide', 'memantine', 'olopatadine', 'asenapine', 'ofatumumab', 'apraclonidine', 'lorcaserin', 'estradiol', 'bisoprolol', 'gemifloxacin', 'cytarabine', 'ifosfamide', 'bimatoprost', 'zolpidem', 'pregabalin', 'cgp', 'fe(iii', 'tranexamic', 'vinorelbine', 'emtricitabine', 'ziconotide', 'regorafenib', 'etravirine', 'doxorubicin', 'lercanidipine', 'dasatinib', 'glat', 'cabozantinib', 'hepatitis', 'paroxetine', 'progesterone', 'enfuvirtide', 'lasofoxifene', 'conivaptan', 'sildenafil', 'topiramate', 'fluconazole', 'ezetimibe', 'abiraterone', 'tacrolimus', 'eribulin', 'lisuride', 'sugammadex', 'irbesartan', 'nicotine', 'capecitabine', 'zidovudine', 'proguanil', 'novolog', 'sumatriptan', 'ofloxacin', 'cidofovir', 'v', 'colchicine', 'umeclidinium', 'gd-dtpa', 'propafenone', 'irinotecan', 'sonovue', 'milnacipran', 'latanoprost', 'ibuprofen', 'ropinirole', 'crizotinib', 'acth(1-39', 'tropisetron', 'forteo', 'busulfan', 'warfarin', 'propoxyphene', 'tipranavir', 'fk463', 'olodaterol', 'iloperidone', 'diclofenac', 'dabigatran', 'tenofovir', 'pegaptanib', 'nandrolone', 'cladribine', 'tapentadol', 'prucalopride', 'sitagliptin', 'aclidinium', 'dexmedetomidine', 'vardenafil', 'bivalirudin', 'bromfenac', 'capsaicin', 'sativex', 'bosentan', 'carvedilol', 'revasc', 'salmeterol', 'gd-eob-dtpa', 'prostacyclin', 'salbutamol', 'ramipril', 'bupropion', 'loxapine', 'temozolomide', 'nuvocid', 'budesonide', 'olanzapine', 'testosterone', 'cyproterone', 'tiotropium', 'pioglitazone', 'imatinib', 'ivacaftor', 'photofrin', 'leflunomide', 'oxytocin', 'methylphenidate', 'palonosetron', 'amsacrine', 'sevoflurane', 'atracurium', 'rasagiline', 'duloxetine', 'nitroglycerin', 'solifenacin', 'methylene', 'neostigmine', 'tobramycin', 'glycopyrrolate', 'darifenacin', 'mthpc', 'remifentanil', 'arsenic', 'nilotinib', 'trimethoprim-sulfamethoxazole', 'fenofibric', 'paricalcitol', 'fotemustine', 'k779', 'degarelix', 'vinflunine', 'pamidronate', 'fospropofol', 'boceprevir', 'riluzole', 'gabapentin', 'clodronate', 'ipratropium', 'fluticasone/salmeterol', 'olmesartan', 'bazedoxifene', 'vecuronium', 'levetiracetam', 'ziprasidone', 'rufinamide', 'dicyclomine', 'colimycin', 'valsartan', 'dexrazoxane', 'trametinib', 'trandolapril', 'tmc435', 'trimethoprim', 'naloxone', 'citalopram', 'mifepristone', 'tegaserod', 'desonide', 'oestrogen', 'amantadine', 'ustekinumab', 'cancidas', 'tigecycline', 'sorafenib', 'pindolol', 'iloprost', 'vemurafenib', 'bicalutamide', 'modafinil', 'trabectedin', 'efavirenz', 'desflurane', 'methotrexate', 'clarithromycin', 'clofarabine', 'quetiapine', 'mefloquine', 'fluticasone', 'su5416', 'hydroxocobalamin', 'tizanidine', 'pimecrolimus', 'lomitapide', 'lamotrigine', 'suvorexant', 'adenosine', 'telavancin', 'ly146032', 'maprotiline', 'methylprednisolone', 'pci-32765', 'rifaximin', 'docetaxel', 'thiotepa', 'ondansetron', 'methyldopa', 'n-acetylcysteine', 'ketorolac', 'fentanyl', 'formoterol', 'trospium', 'linagliptin', 'vandetanib', 'acebutolol', 'travoprost', 'gemfibrozil', 'olsalazine', 'azarga', 'etoposide', 'risperidone', 'erlotinib', 'desmopressin', 'gadolinium', 'icodextrin', 'vacv', 'ambrisentan', 'ritonavir', 'candesartan', 'ertapenem', 'valganciclovir', 'desvenlafaxine', 'etoricoxib', 'zoledronic', 'doxepin', 'clopidogrel', 'aliskiren', 'indacaterol', 'phenylephrine', 'dipyridamole', 'metformin', 'fondaparinux', 'exenatide', 'diltiazem', 'fesoterodine', 'histrelin', 'clomipramine', 'paliperidone', '5-azacytidine', 'toremifene', 'celecoxib', 'zonisamide', 'tolcapone', 'eslicarbazepine', 'topotecan', 'mannitol', 'hydrocodone', 'dalbavancin', 'saquinavir', 'timolol', 'sunitinib', 'nitric', 'bortezomib', 'gefitinib', 'temsirolimus', 'avanafil', 'supremon', 'gemcitabine', 'insulin', 'lenalidomide', 'azathioprine', 'quinapril', 'raltegravir', 'ferumoxytol', 'promacta', 'pixantrone', 'copolymer', 'letrozole', 'perindopril', 'tamsulosin', 'apixaban', 'thymidine', 'salmon', 'quinidine', 'omeprazole', 'mersyndol', 'ixabepilone', 'hydroxybutyrate', 'sertraline', 'rimonabant', 'aprepitant', 'lisinopril', 'fty720', 'deferiprone', 'ethosuximide', 'romidepsin', 'tramazoline', 'sitaxsentan', 'dabrafenib', 'acetaminophen']",444
What drugs are associated with mood swings?,class_based,mood swings,"['minocycline', 'mycophenolate', 'baclofen', 'demethyl', 'vigabatrin', 'cysteamine', 'nelfinavir', 'ganciclovir', 'fludrocortisone', 'codeine', 'nabilone', 'bupropion', 'fentanyl', 'aripiprazole', 'prednisone', 'sibutramine', 'conjugated', 'temozolomide', 'venlafaxine', 'irbesartan-hydrochlorothiazide', 'budesonide', 'olanzapine', 'penbutolol', 'cortisol', 'hydroxychloroquine', 'nadolol', 'delavirdine', 'atenolol', 'lu', 'estramustine', 'desogestrel', 'testosterone', 'clomiphene', 'ribavirin', 'atomoxetine', 'donepezil', 'acebutolol', 'fluvoxamine', 'pergolide', 'hydromorphone', 'rapamycin', 'drospirenone', 'medroxyprogesterone', 'sotalol', 'triptorelin', 'bretylium', 'iopromide', 'zidovudine/lamivudine', 'olsalazine', 'isomannide', 'goserelin', 'methylphenidate', 'pilocarpine', 'oxybutynin', 'pantoprazole', 'clonazepam', 'felbamate', 'pentostatin', 'betaxolol', 'meperidine', 'amsacrine', 'nifedipine', 'risperidone', 'naproxen', 'alprazolam', 'desmopressin', 'dihydrocodeine', 'duloxetine', 'rasagiline', 'darunavir', 'imipramine', 'propranolol', 'metrodin', 'memantine', 'cetirizine', 'prednisolone', 'ritonavir', 'glycopyrrolate', 'retinoic', 'zolmitriptan', 'dorzolamide', 'diane-35', 'doxazosin', 'estazolam', 'pentamidine', 'rivastigmine', 'oxcarbazepine', 'thyroxine', 'anthracycline', 'tamoxifen', 'estradiol', 'dextrorphan', 'bisoprolol', 'valproate', 'cevimeline', 'zolpidem', 'pregabalin', 'buspirone', 'nefazodone', 'k779', 'bexarotene', 'triamcinolone', 'lamivudine', 'danazol', 'boceprevir', 'l-dmp', 'riluzole', 'labetalol', 'gabapentin', 'moexiprilat', 'doxorubicin', 'trovafloxacin', 'diltiazem', 'estrone', 'histrelin', 'clomipramine', 'levetiracetam', 'lacosamide', 'glat', 'deprenyl', 'dicyclomine', 'tiagabine', 'amphetamine', 'paroxetine', 'progesterone', 'pramipexole', 'buprenorphine', 'lovaza', 'implanon', 'toremifene', 'midazolam', 'levonorgestrel', 'eletriptan', 'zonisamide', 'fosinopril', 'topiramate', 'tolcapone', 'eslicarbazepine', '5-asa', 'tacrolimus', 'citalopram', 'tramadol', 'tegaserod', 'pravastatin', 'dexamethasone', 'irbesartan', 'hydrocodone', 'ogen', 'pentosan', 'ropivacaine', 'nuvaring', 'timolol', 'fosinoprilat', 'pemetrexed', 'flumazenil', 'nicotine', 'oestrogen', 'capecitabine', 'posaconazole', 'zidovudine', 'flurbiprofen', 'guanidinium', 'megestrol', 'meloxicam', 'morphine', 'supremon', 'fosphenytoin', 'ofloxacin', 'insulin', 'v', 'leuprorelin', 'zalcitabine', 'sparfloxacin', 'paclitaxel', 'lenalidomide', 'varenicline', 'isosorbide-5-mononitrate', 'sorafenib', 'zopiclone', 'raltegravir', 'ibuprofen', 'ropinirole', 'modafinil', 'efavirenz', 'norethisterone', 'metoprolol', 'copolymer', 'acth(1-39', 'perindopril', 'thalidomide', 'propofol', 'mirtazapine', 'frovatriptan', 'fluoxetine', 'stavudine', 'diazepam', 'methotrexate', 'lansoprazole', 'iloperidone', 'quetiapine', 'mefloquine', 'triphasil', 'sodium', 'melatonin', 'mersyndol', 'oxycodone', 'phenobarbital', 'phenytoin', 'sertraline', 'atazanavir', 'perampanel', 'desloratadine', 'mycophenolic', 'amlodipine', 'tizanidine', 'rimonabant', 'sativex', 'lamotrigine', 'bosentan', 'carvedilol', 'moxifloxacin', 'ge-132', 'adenosine', 'zaleplon', 'anastrozole', 'methylprednisolone', 'salbutamol', 'triazolam', 'nafarelin', 'atorvastatin']",230
Show me drugs known to cause chest discomfort,class_based,chest discomfort,"['baclofen', 'n-acetylcysteine', 'ivermectin', 'bupropion', 'loxapine', 'fentanyl', 'aripiprazole', 'sibutramine', 'testosterone', 'diphenhydramine', 'iopamidol', 'carbinoxamine', 'ribavirin', 'delamanid', 'vernakalant', 'hydromorphone', ""5-aza-2'-deoxycytidine"", 'iopromide', 'aztreonam', 'photofrin', 'nitroprusside', 'methylphenidate', 'oxybutynin', 'etoposide', 'sevoflurane', 'risperidone', 'alprazolam', '4-ap', 'allopurinol', 'nitroglycerin', 'brinzolamide', 'neostigmine', 'flunisolide', 'tobramycin', 'ambrisentan', 'retinoic', 'zolmitriptan', 'nisoldipine', 'doxapram', 'ofatumumab', 'pentamidine', 'pyridostigmine', 'anthracycline', 'estradiol', 'nilotinib', 'clindamycin', 'aspirin', 'fexofenadine', 'lubiprostone', 'indacaterol', 'amifostine', 'paricalcitol', 'carboprost', 'zolpidem', 'amphotericin', 'pregabalin', 'cgp', 'fe(iii', 'boceprevir', 'metformin', 'gadopentetate', '17-hydroxyprogesterone', 'cyproheptadine', 'voriconazole', 'lithium', 'paliperidone', 'pramipexole', 'colimycin', 'lasofoxifene', 'eletriptan', 'methacholine', 'tolcapone', 'abiraterone', 'tacrolimus', 'mannitol', 'citalopram', 'tramadol', 'lioh', 'fosaprepitant', 'gadoversetamide', 'ioxaglate', 'nitric', 'rifabutin', 'bortezomib', 'nicotine', 'capecitabine', 'morphine', 'sumatriptan', 'febuxostat', 'insulin', 'cancidas', 'leuprorelin', 'zalcitabine', 'paclitaxel', 'varenicline', 'gd-dtpa', 'sonovue', 'milnacipran', 'raltegravir', 'ferumoxytol', 'iloprost', 'terbutaline', 'ropinirole', 'regadenoson', 'gadofosveset', 'ciclesonide', 'tropisetron', 'thymidine', 'frovatriptan', 'oxaliplatin', 'naltrexone', 'bosutinib', 'dabigatran', 'sodium', 'fluticasone', 'oxycodone', 'everolimus', 'phenytoin', 'chlorpheniramine', 'hydroxocobalamin', 'aprepitant', 'moxifloxacin', 'clemastine', 'lisinopril', 'adenosine', 'salmeterol', '18f-flutemetamol', 'prostacyclin', 'salbutamol', 'sitaxsentan', 'acetaminophen', 'docetaxel', 'pge2']",133
List medications that can lead to inguinal hernia,class_based,inguinal hernia,"['lenalidomide', 'pge1', 'icodextrin', 'memantine', 'pramipexole', 'bupropion', 'a77', 'lasofoxifene', 'clomiphene', 'aripiprazole', 'rifaximin', 'ibuprofen', 'leuprorelin']",13
List medications that can lead to labyrinthitis,class_based,labyrinthitis,"['gabapentin', 'cyproheptadine', 'clemastine', 'chlorpheniramine', 'venlafaxine', 'zolpidem', 'zaleplon', 'naratriptan', 'tramadol', 'pentostatin', 'lasofoxifene', 'diphenhydramine', 'celecoxib', 'carbinoxamine']",14
Show me drugs known to cause secondary adrenocortical insufficiency,class_based,secondary adrenocortical insufficiency,"['ciclesonide', 'mometasone', 'flunisolide', 'ritonavir', 'prednisone', 'budesonide', 'cortisol', 'fluticasone', 'clobetasone', 'ocrh', 'megestrol', 'triamcinolone', 'amcinonide', 'halcinonide', 'clobetasol', 'desoximetasone', 'beclomethasone', 'westcort', 'fluticasone/salmeterol', 'fluocinonide', 'mitotane']",21
What drugs are associated with anorectal disorder?,class_based,anorectal disorder,"['mycophenolate', 'octreotide', 'paroxetine', 'vacv', 'ritonavir', 'fentanyl', 'eletriptan', 'busulfan', 'sibutramine', 'sildenafil', 'venlafaxine', 'irbesartan-hydrochlorothiazide', 'rivastigmine', 'budesonide', 'delavirdine', 'tolcapone', 'diazepam', '5-asa', 'lansoprazole', 'tacrolimus', 'diclofenac', 'tramadol', 'omeprazole', 'gadoversetamide', 'linezolid', 'ribavirin', 'risedronate', 'irbesartan', 'sodium', 'rapamycin', 'misoprostol', 'cevimeline', 'gefitinib', 'capecitabine', 'amphotericin', 'ropinirole', 'pregabalin', 'k779', 'morphine', 'mycophenolic', 'fe(iii', 'cefpodoxime', 'cidofovir', 'leuprorelin', 'reboxetine', 'gabapentin', 'methylphenidate', 'voriconazole', 'imiquimod', 'pantoprazole', 'acitretin', 'trovafloxacin', 'doxorubicin', 'irinotecan', 'rabeprazole', 'esomeprazole', 'indapamide', 'betaxolol', 'bicalutamide', 'naproxen', 'fenofibrate']",61
List medications that can lead to impaired healing,class_based,impaired healing,"['bcnu', 'mycophenolate', 'ciclesonide', 'demethyl', 'copolymer', 'mometasone', 'acth(1-39', 'fludrocortisone', 'cetirizine', 'fluorometholone', 'bupropion', 'pramipexole', 'prednisolone', 'mirtazapine', 'retinoic', 'prednisone', 'venlafaxine', 'alendronate', 'budesonide', 'cortisol', 'cosyntropin', 'methotrexate', 'tacrolimus', 'dalteparin', 'linezolid', 'dexamethasone', 'vandetanib', 'fluticasone', 'nepafenac', 'rapamycin', 'ciprofloxacin', 'sunitinib', 'everolimus', 'caffeine', 'fluocinolone', 'bortezomib', 'cabozantinib', 'loteprednol', 'pregabalin', 'temsirolimus', 'triamcinolone', 'mycophenolic', 'boceprevir', 'leuprorelin', 'beclomethasone', 'lenalidomide', 'cyclophosphamide', 'revasc', 'cortisone', 'tigecycline', 'acitretin', 'neomycin', 'methylprednisolone', 'melphalan', 'glat', 'medrysone']",56
List medications that can lead to blood in stool,class_based,blood in stool,"['oxcarbazepine', 'duloxetine', 'baclofen', 'delavirdine', 'remifentanil', 'imatinib', 'capecitabine', 'ketotifen', 'penicillin', 'prednisolone', 'tramadol', 'benzathine', 'clomipramine', 'olsalazine', 'rifaximin', 'glipizide', 'bisacodyl']",17
List medications that can lead to urethritis,class_based,urethritis,"['mycophenolate', 'copolymer', 'tiagabine', 'paroxetine', 'pramipexole', 'ritonavir', 'mirtazapine', 'fluoxetine', 'pentosan', 'azithromycin', 'everolimus', 'pregabalin', 'flurbiprofen', 'sumatriptan', 'ofloxacin', 'l-dmp', 'cidofovir', 'emtricitabine', 'oxybutynin', 'pantoprazole', 'zaleplon', 'zopiclone', 'valrubicin', 'glat', 'bromcresol']",25
Which drugs cause clonic convulsion?,class_based,clonic convulsion,"['lamotrigine', 'd-cycloserine', 'fluconazole', 'nitroglycerin', 'ziconotide', 'citalopram', 'midazolam', 'benzonatate', 'fentanyl', 'fluoxetine']",10
Which drugs cause catheter related infection?,class_based,catheter related infection,"['paclitaxel', '5-fu', 'valganciclovir', 'bortezomib', 'ganciclovir', 'icodextrin', ""5-aza-2'-deoxycytidine"", 'clonidine', 'posaconazole', 'clofarabine', 'vinflunine', 'romidepsin', 'prostacyclin']",13
List medications that can lead to sodium decreased,class_based,sodium decreased,"['sunitinib', 'everolimus', 'ponatinib', 'capecitabine', 'trovafloxacin', 'vismodegib', 'cefaclor', 'gemifloxacin', 'pazopanib', 'cefditoren', 'dexrazoxane', 'azithromycin']",12
List medications that can lead to herpes virus infection,class_based,herpes virus infection,"['carfilzomib', 'procarbazine', 'bupropion', 'maraviroc', 'ofatumumab', 'pentamidine', 'cortisol', 'diazoxide', 'tacrolimus', 'nilotinib', 'acyclovir', 'fluvoxamine', 'cladribine', 'everolimus', 'bortezomib', 'capecitabine', 'temsirolimus', 'megestrol', 'vinflunine', 'sumatriptan', 'gabapentin', 'methylphenidate', 'lenalidomide', 'voriconazole', 'ge-132', 'fty720', 'rabeprazole', 'raltegravir', 'dasatinib', 'fenofibrate']",30
Show me drugs known to cause blood calcium decreased,class_based,blood calcium decreased,"['cefepime', 'tobramycin', 'cefditoren', 'salmon', 'ibandronate', 'zoledronic', 'tramadol', 'gemifloxacin', 'citric', 'vandetanib', 'sunitinib', 'nelarabine', 'everolimus', 'amifostine', 'capecitabine', 'cefaclor', 'pazopanib', 'cancidas', 'gentamicin', 'varenicline', 'ponatinib', 'carbamazepine', 'dasatinib']",23
