query,query_type,drug,ground_truth_side_effects,num_side_effects
What are the side effects of dextrorphan?,reverse,dextrorphan,"['confusional state', 'vomiting', 'lethargy', 'tachycardia', 'abnormal vision', 'gastrointestinal pain', 'pupillary disorder', 'cyanosis', 'hypokinesia', 'muscle spasms', 'diplopia', 'tension', 'nausea', 'urinary retention', 'injection site reaction', 'dermatitis', 'feeling abnormal', 'coma', 'convulsion', 'dry mouth', 'rash', 'agitation', 'apnoea', 'dyspepsia', 'amnesia', 'strangury', 'cardiac arrest', 'personality disorder', 'renal failure', 'biliary colic', 'palpitations', 'hyperhidrosis', 'mood swings', 'hypoxia', 'affect lability', 'bradycardia', 'dizziness', 'extrasystoles', 'hypotension', 'suicide attempt', 'thinking abnormal', 'mental disability', 'urticaria', 'constipation', 'arrhythmia', 'nervousness', 'abnormal dreams', 'hypoventilation', 'respiratory failure', 'abdominal pain', 'hyperkinesia', 'pruritus', 'flushing', 'spasm biliary', 'insomnia', 'visual impairment', 'dyskinesia', 'dysuria', 'shock', 'sweating']",60
Show me side effects associated with thiamine,reverse,thiamine,"['sensation of warmth', 'anaphylactic shock', 'feeling hot', 'cyanosis', 'asthenia', 'collapse', 'nausea', 'agitation', 'angioedema', 'tenderness', 'hyperhidrosis', 'induration', 'haemoglobin', 'urticaria', 'pulmonary oedema', 'haemorrhage', 'pruritus', 'hypersensitivity', 'shock', 'throat tightness', 'sweating']",21
Show me side effects associated with mk-462,reverse,mk-462,"['diarrhoea', 'vomiting', 'somnolence', 'tachycardia', 'anaphylactic shock', 'gastrointestinal pain', 'myalgia', 'discomfort', 'tremor', 'menopausal symptoms', 'asthenia', 'gastrointestinal disorder', 'tension', 'vision blurred', 'nausea', 'neck pain', 'dermatitis', 'dry mouth', 'muscular weakness', 'convulsion', 'wheezing', 'rash', 'dyspepsia', 'syncope', 'hot flush', 'cardiovascular disorder', 'hypoaesthesia', 'angioedema', 'chest pain', 'loss of consciousness', 'colitis ischaemic', 'pharyngeal oedema', 'serotonin syndrome', 'ischaemia', 'palpitations', 'hyperhidrosis', 'anaphylactoid reaction', 'stiffness', 'musculoskeletal discomfort', 'dyspnoea', 'headache', 'dizziness', 'disorientation', 'bradycardia', 'angiopathy', 'urticaria', 'facial pain', 'thirst', 'arrhythmia', 'nervousness', 'fatigue', 'abdominal pain', 'pruritus', 'flushing', 'vertigo', 'toxic epidermal necrolysis', 'hypersensitivity', 'insomnia', 'hypertension', 'ataxia', 'oedema', 'swollen tongue', 'shock', 'sweating', 'dysgeusia', 'musculoskeletal stiffness']",66
What are the side effects of iloprost?,reverse,iloprost,"['diarrhoea', 'vomiting', 'blood and lymphatic system disorders', 'pain', 'haemoptysis', 'nervous system disorder', 'pneumonia', 'tachycardia', 'tongue irritation', 'cardiac failure congestive', 'discomfort', 'cardiac disorder', 'mediastinal disorder', 'trismus', 'cramp muscle', 'gastrointestinal disorder', 'cough', 'muscle spasms', 'throat irritation', 'nausea', 'laboratory test abnormal', 'dermatitis', 'wheezing', 'rash', 'phosphatase alkaline increased', 'chest discomfort', 'connective tissue disorder', 'syncope', 'immune system disorder', 'oedema peripheral', 'haemorrhage intracranial', 'loss of consciousness', 'chest pain', 'vasodilation procedure', 'renal failure', 'palpitations', 'thrombocytopenia', 'gamma-glutamyltransferase increased', 'bronchospasm', 'dyspnoea', 'dizziness', 'headache', 'skin disorder', 'unspecified disorder of skin and subcutaneous tissue', 'hypotension', 'angiopathy', 'glossodynia', 'haemoglobin', 'laryngeal pain', 'blood alkaline phosphatase increased', 'gingival bleeding', 'pain in jaw', 'haemorrhage', 'supraventricular tachycardia', 'back pain', 'vasodilation', 'drug interaction', 'pharyngolaryngeal pain', 'flushing', 'cough increased', 'glossitis', 'hypersensitivity', 'insomnia', 'nasal congestion', 'shock', 'epistaxis', 'dysgeusia', 'influenza']",68
Show me side effects associated with diatrizoate,reverse,diatrizoate,"['spinal cord injury', 'cyanosis', 'tremor', 'cough', 'dermatitis', 'memory loss', 'anuria', 'agitation', 'paraesthesia', 'cardiovascular disorder', 'cardiac arrest', 'sensory loss', 'thrombophlebitis', 'speech disorder', 'renal failure', 'skin exfoliation', 'hyperhidrosis', 'chills', 'headache', 'malaria', 'necrosis', 'retroperitoneal haemorrhage', 'respiratory arrest', 'nephrosis lower nephron', 'disseminated intravascular coagulation', 'pruritus', 'sinus bradycardia', 'hypertension', 'skin necrosis', 'oedema', 'shock', 'azotaemia', 'dysgeusia', 'anaemia', 'stinging', 'diarrhoea', 'contrast media reaction', 'pain', 'instillation site pain', 'anaphylactic shock', 'feeling hot', 'thrombosis', 'coma', 'pulmonary embolism', 'uremia', 'amnesia', 'lacrimation', 'paralysis', 'blood creatinine increased', 'chemosis', 'infarction', 'anaphylactoid reaction', 'haematuria', 'bronchospasm', 'hypotension', 'haemoglobin', 'application site pain', 'arrhythmia', 'extravasation', 'haematoma', 'eye irritation', 'rhinitis', 'oliguria', 'nephropathy', 'flushing', 'cough increased', 'vein pain', 'acute coronary syndrome', 'myelitis transverse', 'vasodilatation', 'retching', 'vomiting', 'sensation of warmth', 'body temperature increased', 'asthma', 'nephrotic syndrome', 'asthenia', 'cramp muscle', 'muscle spasms', 'nausea', 'convulsion', 'wheezing', 'tachyarrhythmia', 'choking', 'hypotensive', 'angioedema', 'numbness', 'loss of consciousness', 'petechiae', 'dyspnoea', 'dizziness', 'respiratory distress', 'eruption', 'urticaria', 'shutdown renal', 'haemorrhage', 'ventricular fibrillation', 'vasodilation', 'conjunctivitis', 'vasospasm', 'vascular pain', 'venospasm', 'conjunctival oedema', 'face oedema', 'acute dyspnea', 'myocardial infarction', 'pallor', 'blindness unilateral', 'tachycardia', 'sweating', 'neutropenia', 'creatinine increased', 'injection site pain', 'confusional state', 'laryngeal oedema', 'sneezing', 'leukopenia', 'cardio-respiratory arrest', 'reflex tachycardia', 'lacrimation increased', 'speech impairment nos', 'feeling abnormal', 'rash', 'infection', 'swelling', 'hypoaesthesia', 'vasodilation procedure', 'chest pain', 'injury', 'renal failure acute', 'sinus arrest', 'thrombocytopenia', 'erythema', 'renal tubular necrosis', 'peripheral vasodilatation', 'pulmonary oedema', 'drug interaction', 'nephrosis', 'electrocardiogram abnormal']",139
What adverse events does triazolam cause?,reverse,triazolam,"['somnolence', 'gastrointestinal pain', 'tremor', 'menstruation irregular', 'burning tongue', 'dermatitis', 'agitation', 'paraesthesia', 'syncope', 'depersonalisation', 'palpitations', 'hyperhidrosis', 'decreased appetite', 'headache', 'glossodynia', 'mania', 'irritability', 'anorexia', 'pruritus', 'transient insomnia', 'tinnitus', 'visual impairment', 'hypertension', 'oedema', 'shock', 'dysgeusia', 'diarrhoea', 'pain', 'muscle tone disorder', 'discomfort', 'sleep disturbance', 'drug abuse', 'mouth irritation', 'lightheadedness', 'anxiety', 'jaundice', 'redness', 'amnesia', 'amnestic symptoms', 'hallucination', 'mood swings', 'affect lability', 'flatulence', 'mental disability', 'memory impairment', 'constipation', 'fatigue', 'eye irritation', 'drug withdrawal syndrome', 'hepatic failure', 'withdrawal symptom', 'sweating increased', 'hypersensitivity', 'dysaesthesia', 'respiratory tract infection', 'dysuria', 'delusion', 'ataxia', 'ill-defined disorder', 'cns depression nos', 'vomiting', 'asthenia', 'cramp muscle', 'muscle spasms', 'nausea', 'euphoric mood', 'dry mouth', 'strangury', 'aggression', 'loss of consciousness', 'nightmare', 'dysarthria', 'dyspnoea', 'dizziness', 'somnambulism', 'nervousness', 'hearing impaired', 'abdominal pain', 'osteoarthritis', 'glossitis', 'insomnia', 'sleep disorder', 'tachycardia', 'slurred speech', 'confusional state', 'urinary retention', 'tension', 'feeling abnormal', 'muscular weakness', 'anterograde amnesia', 'derealisation', 'incontinence', 'deafness', 'chest pain', 'consciousness clouding', 'drowsiness', 'erythema', 'coordination abnormal', 'disorientation', 'sexual dysfunction', 'stomatitis', 'malaise', 'thinking abnormal', 'muscle spasticity', 'depressed level of consciousness', 'visual disturbance']",106
Show me side effects associated with nuvocid,reverse,nuvocid,"['diarrhoea', 'bilirubin total increased', 'vomiting', 'blood and lymphatic system disorders', 'nervous system disorder', 'tenosynovitis', 'abscess', 'myalgia', 'cardiac disorder', 'mediastinal disorder', 'infusion site phlebitis', 'gastrointestinal disorder', 'infusion site erythema', 'nausea', 'blood uric acid increased', 'dermatitis', 'osteomyelitis', 'wheezing', 'rash', 'connective tissue disorder', 'aspartate aminotransferase increased', 'hyperuricaemia', 'erythema multiforme', 'infection', 'immune system disorder', 'oedema peripheral', 'angioedema', 'allergic cutaneous angiitis', 'leukocytoclastic vasculitis', 'eosinophilia', 'musculoskeletal discomfort', 'bronchospasm', 'headache', 'dizziness', 'skin disorder', 'cellulitis', 'unspecified disorder of skin and subcutaneous tissue', 'induration', 'blood bilirubin increased', 'urticaria', 'extravasation', 'hypoglycaemia', 'pruritus', 'alanine aminotransferase increased', 'hypersensitivity', 'infestation nos', 'infusion site reaction', 'infestation', 'malnutrition', 'tachycardia', 'anaemia']",51
Show me side effects associated with lomustine,reverse,lomustine,"['azotaemia', 'lung infiltration', 'lethargy', 'body temperature increased', 'neurologic reaction', 'throat sore', 'leukopenia', 'acute leukaemia', 'nausea', 'pancytopenia', 'nephrotoxicity', 'neurological symptom', 'gastrointestinal toxicity', 'alopecia', 'infection', 'neoplasm', 'refractory cytopenia with unilineage dysplasia', 'optic atrophy', 'renal failure', 'refractory anemia', 'contusion', 'hepatotoxicity', 'dysarthria', 'thrombocytopenia', 'decreased appetite', 'pulmonary fibrosis', 'nephropathy toxic', 'disorientation', 'fibrosis', 'stomatitis', 'haemoglobin', 'oropharyngeal pain', 'haemorrhage', 'myelosuppression', 'dysplasia', 'anorexia', 'osteoarthritis', 'oropharyngeal discomfort', 'blindness', 'visual impairment', 'pulmonary toxicity', 'ataxia', 'visual disturbance', 'vomiting']",44
What are the side effects of ntbc?,reverse,ntbc,"['diarrhoea', 'gastroenteritis', 'blood and lymphatic system disorders', 'somnolence', 'gastrointestinal pain', 'dermatitis exfoliative', 'respiratory insufficiency', 'tooth discolouration', 'leukopenia', 'cyanosis', 'leukocytosis', 'tension', 'convulsion', 'agitation', 'eye pain', 'ear infection', 'alopecia', 'infection', 'dry skin', 'eye disorder', 'encephalopathy', 'dehydration', 'corneal opacity', 'melaena', 'agranulocytosis', 'amenorrhoea', 'septicemia', 'cataract', 'thrombocytopenia', 'skin disorder', 'headache', 'photophobia', 'unspecified disorder of skin and subcutaneous tissue', 'haemoglobin', 'thirst', 'rash maculo-papular', 'nervousness', 'bronchitis', 'haemorrhage', 'brain neoplasm', 'hepatic neoplasm', 'porphyrin metabolism disorder', 'hepatic function abnormal', 'sepsis', 'conjunctivitis', 'neoplasm malignant', 'gastrointestinal haemorrhage', 'abdominal pain', 'respiratory failure', 'blepharitis', 'hypoglycaemia', 'pruritus', 'enanthema', 'hepatic failure', 'hyperkinesia', 'rash erythematous', 'liver nodule', 'hepatomegaly', 'keratitis', 'otitis', 'epistaxis', 'gastritis']",62
List all side effects of silver,reverse,silver,"['hepatitis', 'skin discolouration', 'dermatitis exfoliative', 'nephrotic syndrome', 'leukopenia', 'blood disorder', 'gastrointestinal disorder', 'bacterial colonisation', 'dermatitis', 'rash', 'reaction gastrointestinal', 'erythema multiforme', 'skin exfoliation', 'agranulocytosis', 'separation', 'thrombocytopenia', 'haemolytic anaemia', 'partner stress', 'hepatic necrosis', 'tubulointerstitial nephritis', 'sepsis', 'bacterial disease carrier', 'burning sensation', 'aplastic anaemia', 'nephrosis', 'hypersensitivity', 'skin necrosis', 'stevens-johnson syndrome', 'nephritis interstitial', 'muscle contracture']",30
What are the side effects of sulindac?,reverse,sulindac,"['hypersensitive syndrome', 'protein urine present', 'somnolence', 'hyperglycaemia', 'gastrointestinal pain', 'myalgia', 'peptic ulcer', 'dermatitis', 'paraesthesia', 'syncope', 'colitis', 'arthralgia', 'renal failure', 'gastrointestinal perforation', 'palpitations', 'hyperhidrosis', 'chills', 'decreased appetite', 'photosensitivity reaction', 'headache', 'calculus of kidney', 'vaginal haemorrhage', 'neuropathy peripheral', 'disseminated intravascular coagulation', 'proteinuria', 'purpura', 'renal impairment', 'gastrointestinal haemorrhage', 'anorexia', 'pruritus', 'meningitis aseptic', 'vertigo', 'tinnitus', 'visual impairment', 'hypertension', 'oedema', 'shock', 'stevens-johnson syndrome', 'nephritis interstitial', 'epistaxis', 'anaemia', 'gastritis', 'diarrhoea', 'dysgeusia', 'pancreatitis', 'anaphylactic shock', 'discomfort', 'leukocytosis', 'vision blurred', 'coma', 'jaundice', 'pancytopenia', 'cholecystitis', 'bone marrow depression', 'alopecia', 'biliary sludge', 'depression', 'ecchymosis', 'taste bitter', 'allergic cutaneous angiitis', 'leukocytoclastic vasculitis', 'arthritis', 'haematuria', 'musculoskeletal discomfort', 'bronchospasm', 'flatulence', 'hypotension', 'gynaecomastia', 'cholelithiasis', 'constipation', 'stupor', 'arrhythmia', 'fatigue', 'hepatic failure', 'crystalluria', 'flushing', 'sweating increased', 'hypersensitivity', 'necrotising fasciitis', 'dysuria', 'ill-defined disorder', 'vomiting', 'hepatitis', 'body temperature increased', 'pneumonia', 'neuritis', 'nephrotic syndrome', 'asthenia', 'drug reaction with eosinophilia and systemic symptoms', 'prothrombin level increased', 'nausea', 'convulsion', 'dyspepsia', 'erythema multiforme', 'fatal outcomes', 'angioedema', 'loss of consciousness', 'nephrolithiasis', 'haemolytic anaemia', 'dyspnoea', 'dizziness', 'vascular purpura', 'tubulointerstitial nephritis', 'urticaria', 'nervousness', 'hearing impaired', 'conjunctivitis', 'cellulitis gangrenous', 'aplastic anaemia', 'glossitis', 'insomnia', 'sweating', 'tachycardia', 'neutropenia', 'adenitis', 'gastroenteritis', 'pleural effusion', 'ageusia', 'lymphadenitis', 'dermatitis exfoliative', 'cardiac failure congestive', 'leukopenia', 'cholestasis', 'tension', 'feeling abnormal', 'muscular weakness', 'rash', 'acute psychosis', 'chest pain', 'gastrointestinal cramps', 'tenderness', 'nephritic syndrome', 'agranulocytosis', 'eosinophilia', 'thrombocytopenia', 'stomatitis', 'malaise', 'depressed level of consciousness', 'urine color abnormal', 'photosensitivity', 'chromaturia', 'partial hearing loss', 'toxic epidermal necrolysis', 'hyperkalaemia', 'visual disturbance', 'urine output']",146
What adverse events does n-acetylcysteine cause?,reverse,n-acetylcysteine,"['vomiting', 'somnolence', 'body temperature increased', 'haemoptysis', 'tachycardia', 'anaphylactic shock', 'asthma', 'feeling hot', 'cardiac disorder', 'mediastinal disorder', 'erythema facial', 'gastrointestinal disorder', 'cough', 'nausea', 'dermatitis', 'cold sweat', 'rhinorrhoea', 'palmar erythema', 'wheezing', 'rash', 'pharyngitis', 'chest discomfort', 'sticky skin', 'dyspepsia', 'eye pain', 'syncope', 'immune system disorder', 'angioedema', 'loss of consciousness', 'chest tightness', 'hyperhidrosis', 'drowsiness', 'anaphylactoid reaction', 'erythema', 'dyspnoea', 'ear pain', 'dizziness', 'bronchospasm', 'skin disorder', 'unspecified disorder of skin and subcutaneous tissue', 'dysphoria', 'hypotension', 'stomatitis', 'angiopathy', 'thinking abnormal', 'urticaria', 'mental disability', 'gastrointestinal symptom nos', 'respiratory distress', 'ear and labyrinth disorders', 'sensitisation', 'pruritus', 'nasopharyngitis', 'flushing', 'bronchoconstriction', 'gait disturbance', 'rhonchi', 'face oedema', 'hypersensitivity', 'stridor', 'oedema', 'shock', 'throat tightness', 'sweating']",64
What adverse events does thyroxine cause?,reverse,thyroxine,"['diarrhoea', 'confusional state', 'vomiting', 'body temperature increased', 'tachycardia', 'gastrointestinal pain', 'abdominal cramps', 'cardiac failure congestive', 'tremor', 'asthenia', 'menstruation irregular', 'slipped femoral capital epiphysis', 'tension', 'nausea', 'cerebral artery embolism', 'anxiety', 'feeling abnormal', 'coma', 'dermatitis', 'gagging', 'rash', 'convulsion', 'wheezing', 'muscular weakness', 'agitation', 'choking', 'alopecia', 'cardiac arrest', 'angioedema', 'arthralgia', 'dehydration', 'craniosynostosis', 'palpitations', 'hyperhidrosis', 'mood swings', 'affect lability', 'musculoskeletal discomfort', 'dyspnoea', 'headache', 'dysphagia', 'heat intolerance', 'temperature intolerance', 'disorientation', 'benign intracranial hypertension', 'angina pectoris', ""basedow's disease"", 'urticaria', 'epiphysiolysis', 'arrhythmia', 'irritability', 'nervousness', 'weight decreased', 'increased appetite', 'fatigue', 'abdominal pain', 'hyperkinesia', 'hypoglycaemia', 'pruritus', 'cardiac failure', 'flushing', 'acute coronary syndrome', 'sweating increased', 'fluid loss', 'myocardial infarction', 'insomnia', 'serum sickness', 'hyperthyroidism', 'infertility', 'shock', 'retching', 'sweating']",71
Show me side effects associated with atracurium,reverse,atracurium,"['azotaemia', 'nervous system disorder', 'brain injury', 'anaphylactic shock', 'brain oedema', 'trauma', 'mediastinal disorder', 'dermatitis', 'muscular weakness', 'convulsion', 'wheezing', 'rash', 'connective tissue disorder', 'laryngospasm', 'uremia', 'immune system disorder', 'cardiac arrest', 'edema cerebral', 'injury', 'anaphylactoid reaction', 'hypoxic-ischaemic encephalopathy', 'erythema', 'bronchospasm', 'dyspnoea', 'skin disorder', 'bradycardia', 'myopathy', 'unspecified disorder of skin and subcutaneous tissue', 'hypotension', 'angiopathy', 'urticaria', 'encephalitis viral', 'pruritus', 'flushing', 'hypersensitivity', 'tachycardia', 'mean arterial pressure']",37
What are the side effects of epinephrine?,reverse,epinephrine,"['somnolence', 'ventricular arrhythmia', 'hyperglycaemia', 'gastrointestinal disorder', 'rales', 'psychotic disorder', 'hypokalaemia', 'agitation', 'gas gangrene', 'paraesthesia', 'skin exfoliation', 'renal failure', 'contusion', 'palpitations', 'hyperhidrosis', 'cerebral haemorrhage', 'necrosis', 'feeling cold', 'renal impairment', 'hypertension', 'skin necrosis', 'excitability', 'blanching of skin', 'lightheadedness', 'hypertensive', 'cerebrovascular accident', 'hallucination', 'skin disorder', 'mydriasis', 'unspecified disorder of skin and subcutaneous tissue', 'haemoglobin', 'myocardial ischaemia', 'memory impairment', 'arrhythmia', 'extravasation', 'blood pressure increased', 'supraventricular tachycardia', 'injection site pallor', 'nephropathy', 'flushing', 'acute coronary syndrome', 'sweating increased', 'redness of face', 'tingling sensation', 'vomiting', 'ischaemia', 'central nervous system haemorrhage', 'nausea', 'coldness', 'tachyarrhythmia', 'hemiplegia', 'dizziness', 'ventricular extrasystoles', 'subarachnoid haemorrhage', 'nervousness', 'lactic acidosis', 'haemorrhage', 'ventricular fibrillation', 'hypoglycaemia', 'myocardial infarction', 'insomnia', 'pallor', 'tachycardia', 'peripheral coldness', 'sweating', 'mental disorder', 'nervous system disorder', 'tension', 'local reaction', 'hypoaesthesia', 'chest pain', 'drowsiness', 'erythema', 'disorientation', 'pulmonary oedema', 'piloerection', 'drug interaction', 'injection site injury', 'skeletal injury', 'panic reaction']",80
What are the side effects of perampanel?,reverse,perampanel,"['confusional state', 'mental disorder', 'somnolence', 'nervous system disorder', 'myalgia', 'balance disorder', 'mediastinal disorder', 'asthenia', 'gastrointestinal disorder', 'limb injury', 'cough', 'diplopia', 'vision blurred', 'nausea', 'euphoric mood', 'anxiety', 'feeling abnormal', 'connective tissue disorder', 'skin laceration', 'paraesthesia', 'infection', 'aggression', 'hypoaesthesia', 'oedema peripheral', 'eye disorder', 'arthralgia', 'weight increased', 'contusion', 'mood swings', 'dysarthria', 'affect lability', 'decreased appetite', 'musculoskeletal discomfort', 'headache', 'dizziness', 'coordination abnormal', 'oropharyngeal pain', 'head injury', 'memory impairment', 'pain in extremity', 'constipation', 'hypersomnia', 'irritability', 'increased appetite', 'fatigue', 'back pain', 'anger', 'ear and labyrinth disorders', 'osteoarthritis', 'gait disturbance', 'laceration', 'vertigo', 'suicidal behaviour', 'infestation nos', 'infestation', 'hyponatraemia', 'ataxia', 'musculoskeletal pain', 'malnutrition', 'vomiting', 'upper respiratory tract infection']",61
List all side effects of flunitrazepam,reverse,flunitrazepam,"['slurred speech', 'confusional state', 'somnolence', 'tachycardia', 'balance disorder', 'discomfort', 'tremor', 'hiccups', 'asthenia', 'sleep disturbance', 'unsteadiness', 'diplopia', 'ill-defined disorder', 'dermatitis', 'anxiety', 'feeling abnormal', 'psychotic disorder', 'dry mouth', 'rash', 'agitation', 'muscular weakness', 'amnesia', 'aggression', 'angioedema', 'hallucination', 'hyperhidrosis', 'drowsiness', 'nightmare', 'dysarthria', 'headache', 'dizziness', 'orthostatic hypotension', 'disorientation', 'hypotension', 'malaise', 'emotional distress', 'irritability', 'fatigue', 'delusion', 'sleep disorder', 'ataxia', 'hangover', 'sweating']",43
What adverse events does acetazolamide cause?,reverse,acetazolamide,"['diarrhoea', 'injection site pain', 'confusional state', 'tingling of extremity', 'vomiting', 'somnolence', 'body temperature increased', 'anaphylactic shock', 'myopia', 'leukopenia', 'blood disorder', 'jaundice cholestatic', 'asthenia', 'discomfort', 'gastrointestinal disorder', 'ill-defined disorder', 'glycosuria', 'nausea', 'feeling abnormal', 'hypokalaemia', 'convulsion', 'agitation', 'paraesthesia', 'dyspepsia', 'erythema multiforme', 'reaction gastrointestinal', 'hypoaesthesia', 'excitement', 'numbness', 'sensory loss', 'polyuria', 'metabolic acidosis', 'melaena', 'osteomalacia', 'agranulocytosis', 'drowsiness', 'growth retardation', 'anaphylactoid reaction', 'haematuria', 'thrombocytopenia', 'decreased appetite', 'paralysis flaccid', 'headache', 'dizziness', 'hepatic necrosis', 'photosensitivity reaction', 'myopia transient', 'malaise', 'thrombocytopenic purpura', 'urticaria', 'irritability', 'appetite absent', 'hepatic function abnormal', 'fatigue', 'hepatic failure', 'urine output increased', 'hypoglycaemia', 'digestion impaired', 'photosensitivity', 'aplastic anaemia', 'flushing', 'electrolyte imbalance', 'toxic epidermal necrolysis', 'hepatobiliary disease', 'tingling sensation', 'tinnitus', 'hepatic insufficiency', 'hyponatraemia', 'ataxia', 'polydipsia', 'shock', 'stevens-johnson syndrome', 'thirst', 'dysgeusia']",74
Show me side effects associated with atovaquone,reverse,atovaquone,"['diarrhoea', 'creatinine increased', 'hepatitis', 'vomiting', 'blood and lymphatic system disorders', 'body temperature increased', 'neutropenia', 'pain', 'pancreatitis', 'hyperglycaemia', 'gastrointestinal pain', 'myalgia', 'sinusitis', 'leukopenia', 'asthenia', 'gastrointestinal disorder', 'cough', 'laboratory test abnormal', 'nausea', 'anxiety', 'dermatitis', 'rash', 'phosphatase alkaline increased', 'anaemia', 'dyspepsia', 'aspartate aminotransferase increased', 'erythema multiforme', 'infection', 'immune system disorder', 'angioedema', 'blood creatinine increased', 'eye disorder', 'skin exfoliation', 'renal failure', 'keratopathy', 'hyperhidrosis', 'thrombocytopenia', 'decreased appetite', 'urethral disorder', 'musculoskeletal discomfort', 'bronchospasm', 'dyspnoea', 'dizziness', 'headache', 'skin disorder', 'unspecified disorder of skin and subcutaneous tissue', 'hypotension', 'urinary tract disorder', 'urticaria', 'constipation', 'blood alkaline phosphatase increased', 'amylase increased', 'renal impairment', 'hepatic failure', 'rhinitis', 'abdominal pain', 'anorexia', 'methaemoglobinaemia', 'hypoglycaemia', 'pruritus', 'alanine aminotransferase increased', 'throat tightness', 'cough increased', 'hyperkalaemia', 'hypersensitivity', 'hepatobiliary disease', 'insomnia', 'hyponatraemia', 'stevens-johnson syndrome', 'sweating', 'dysgeusia', 'influenza']",72
Show me side effects associated with nabumetone,reverse,nabumetone,"['somnolence', 'hyperglycaemia', 'gastrointestinal pain', 'peptic ulcer', 'duodenitis', 'tremor', 'cough', 'dermatitis', 'hypokalaemia', 'agitation', 'raised liver function tests', 'paraesthesia', 'hyperuricaemia', 'syncope', 'thrombophlebitis', 'albuminuria', 'renal failure', 'melaena', 'weight increased', 'palpitations', 'hyperhidrosis', 'chills', 'decreased appetite', 'photosensitivity reaction', 'headache', 'dysphagia', 'calculus of kidney', 'interstitial pneumonia', 'liver function test abnormal', 'vaginal haemorrhage', 'weight decreased', 'gastrointestinal haemorrhage', 'anorexia', 'pruritus', 'vertigo', 'tinnitus', 'visual impairment', 'hypertension', 'oedema', 'shock', 'stevens-johnson syndrome', 'nephritis interstitial', 'anaemia', 'azotaemia', 'gastritis', 'diarrhoea', 'congenital anomaly', 'pancreatitis', 'anaphylactic shock', 'bullous eruption', 'discomfort', 'anxiety', 'jaundice', 'alopecia', 'depression', 'anaphylactoid reaction', 'haematuria', 'flatulence', 'angina pectoris', 'haemoglobin', 'constipation', 'arrhythmia', 'fatigue', 'hepatic failure', 'acute coronary syndrome', 'sweating increased', 'hypersensitivity', 'faecal occult blood positive', 'dysuria', 'ill-defined disorder', 'vomiting', 'body temperature increased', 'pneumonia', 'asthma', 'nephrotic syndrome', 'asthenia', 'rectal haemorrhage', 'nausea', 'pseudoporphyria', 'blood uric acid increased', 'dry mouth', 'dyspepsia', 'erythema multiforme', 'angioedema', 'loss of consciousness', 'duodenal ulcer', 'nightmare', 'nephrolithiasis', 'dyspnoea', 'dizziness', 'tubulointerstitial nephritis', 'urticaria', 'acne', 'nervousness', 'haemorrhage', 'increased appetite', 'alveolitis allergic', 'abdominal pain', 'aplastic anaemia', 'developmental delay', 'glossitis', 'myocardial infarction', 'insomnia', 'confusional state', 'gastroenteritis', 'abnormal vision', 'leukopenia', 'jaundice cholestatic', 'interstitial lung disease', 'tension', 'feeling abnormal', 'vasculitis', 'rash', 'eosinophilic pneumonia', 'occult blood positive', 'taste disorders', 'nephritic syndrome', 'agranulocytosis', 'thrombocytopenia', 'erectile dysfunction', 'stomatitis', 'malaise', 'gingivitis', 'eructation', 'photosensitivity', 'toxic epidermal necrolysis', 'gastric ulcer', 'dermatitis bullous']",128
List all side effects of liraglutide,reverse,liraglutide,"['diarrhoea', 'injection site dermatitis', 'vomiting', 'pancreatitis', 'nervous system disorder', 'pancreatitis acute', 'anaphylactic shock', 'gastrointestinal pain', 'carcinoma', 'cardiac disorder', 'discomfort', 'asthenia', 'abdominal discomfort', 'gastrointestinal disorder', 'gastrooesophageal reflux disease', 'nausea', 'injection site reaction', 'dermatitis', 'feeling abnormal', 'rash', 'abdominal distension', 'dyspepsia', 'infection', 'immune system disorder', 'angioedema', 'toothache', 'pancreatitis necrotising', 'intestinal obstruction', 'renal failure acute', 'dehydration', 'blood creatinine increased', 'renal failure', 'palpitations', 'decreased appetite', 'erythema', 'urethral disorder', 'dyspnoea', 'flatulence', 'dizziness', 'headache', 'serum creatinine increased', 'hypotension', 'malaise', 'urinary tract disorder', 'urticaria', 'constipation', 'abdominal pain upper', 'bronchitis', 'papillary thyroid cancer', 'fatigue', 'renal impairment', 'renal failure chronic', 'neoplasm malignant', 'abdominal pain', 'anorexia', 'hypoglycaemia', 'nasopharyngitis', 'pruritus', 'hypersensitivity', 'upper respiratory tract infection', 'infestation nos', 'infestation', 'oedema', 'malnutrition', 'ill-defined disorder', 'tachycardia', 'gastritis']",67
Show me side effects associated with prednicarbate,reverse,prednicarbate,"['pain', 'leukoderma', 'allergic contact dermatitis', 'dermatitis', 'rash', 'atrophy', 'secondary infection', 'hypertrichosis', 'paraesthesia', 'folliculitis', 'infection', 'eruption', 'urticaria', 'dermatitis irritant contact', 'dermatitis perioral', 'miliaria', 'dermatitis contact', 'skin striae', 'pruritus', 'acneiform eruption', 'skin atrophy', 'telangiectasia', 'dermatitis acneiform', 'oedema']",24
